"SULFUR STATISTICS1",,,,,,,,,
"U.S. GEOLOGICAL SURVEY",,,,,,,,,
"[All values are in metric tons (t) sulfur content unless otherwise noted]",,,,,,,,,
"Last modification: November 11, 2011",,,,,,,,,
"Year","Production","Imports","Exports","Shipments","Stocks","Apparent consumption","Unit value ($/t)","Unit value (98$/t)","World production"
1968,9 890 000,1 740 000,1 630 000,9 060 000,2 700 000,9 220 000,"39,00",182,29 500 000
1969,9 690 000,1 820 000,1 580 000,9 070 000,3 390 000,9 320 000,"26,60",118,30 700 000
1970,9 710 000,1 690 000,1 460 000,8 100 000,3 890 000,9 380 000,"22,80","95,70",41 900 000
1971,9 730 000,1 450 000,1 560 000,8 450 000,4 190 000,9 320 000,"17,20","69,20",42 700 000
1972,10 400 000,1 210 000,1 880 000,9 690 000,3 860 000,10 000 000,"16,80","65,40",45 500 000
1973,11 100 000,1 240 000,1 800 000,10 000 000,3 990 000,10 400 000,"17,60","64,50",48 200 000
1974,11 600 000,2 180 000,2 710 000,10 600 000,4 020 000,11 000 000,"28,40","94,00",51 200 000
1975,11 400 000,1 930 000,1 370 000,9 120 000,5 210 000,10 800 000,"44,90",136,50 700 000
1976,10 900 000,1 760 000,1 290 000,9 150 000,5 650 000,10 900 000,"45,70",131,50 900 000
1977,10 700 000,2 010 000,1 200 000,9 660 000,5 560 000,11 700 000,"44,40",119,52 300 000
1978,11 200 000,2 180 000,866 000,9 820 000,5 350 000,12 600 000,"45,20",113,52 100 000
1979,12 100 000,2 490 000,2 040 000,11 600 000,4 240 000,13 700 000,"55,80",125,53 200 000
1980,11 900 000,2 520 000,1 780 000,11 500 000,3 090 000,13 700 000,"89,10",176,55 000 000
1981,12 100 000,2 640 000,1 470 000,10 100 000,3 630 000,12 800 000,111,200,53 600 000
1982,9 790 000,2 050 000,1 040 000,7 940 000,4 220 000,10 100 000,108,183,50 600 000
1983,9 290 000,1 840 000,1 050 000,9 150 000,3 220 000,11 000 000,"87,20",143,49 800 000
1984,10 700 000,2 700 000,1 370 000,10 200 000,2 420 000,12 700 000,"94,30",148,52 500 000
1985,11 600 000,2 250 000,1 410 000,9 940 000,2 800 000,12 000 000,106,161,53 800 000
1986,11 100 000,1 600 000,1 920 000,9 910 000,2 750 000,10 600 000,105,156,53 700 000
1987,10 500 000,1 850 000,1 270 000,9 790 000,2 320 000,11 300 000,"89,80",129,57 000 000
1988,10 700 000,2 310 000,1 270 000,10 800 000,1 110 000,12 700 000,"86,00",118,59 200 000
1989,11 600 000,2 670 000,1 070 000,10 300 000,1 300 000,12 700 000,"86,60",114,58 900 000
1990,11 600 000,3 120 000,1 020 000,10 200 000,1 420 000,13 100 000,"80,10",100,57 800 000
1991,10 800 000,3 620 000,1 250 000,11 100 000,1 190 000,13 500 000,"71,50","85,50",54 600 000
1992,10 700 000,3 380 000,1 010 000,11 000 000,809 000,13 400 000,"48,10","55,90",50 700 000
1993,11 000 000,2 840 000,703 000,10 500 000,1 380 000,12 600 000,"31,90","35,90",51 600 000
1994,11 500 000,2 350 000,945 000,11 700 000,1 160 000,13 100 000,"30,10","33,10",53 400 000
1995,11 800 000,3 140 000,962 000,12 100 000,583 000,14 300 000,"44,50","47,60",54 800 000
1996,11 800 000,2 640 000,893 000,11 800 000,646 000,13 600 000,"34,10","35,40",55 200 000
1997,12 000 000,2 720 000,742 000,12 000 000,761 000,14 000 000,"36,10","36,60",56 900 000
1998,11 700 000,2 940 000,940 000,12 200 000,283 000,14 200 000,"29,10","29,10",57 400 000
1999,11 500 000,3 030 000,736 000,11 300 000,451 000,13 800 000,"37,80","37,00",57 400 000
2000,10 500 000,2 790 000,849 000,10 700 000,208 000,12 700 000,"24,70","23,40",59 300 000
2001,9 470 000,2 190 000,780 000,9 450 000,232 000,10 900 000,"10,00","9,20",59 500 000
2002,9 330 000,2 910 000,757 000,9 320 000,181 000,11 500 000,"11,80","10,70",62 000 000
2003,9 650 000,3 160 000,907 000,9 690 000,206 000,11 900 000,"28,70","25,40",64 100 000
2004,10 100 000,3 630 000,1 020 000,10 100 000,185 000,12 800 000,"32,60","28,10",66 400 000
2005,9 500 000,3 700 000,794 000,9 480 000,160 000,12 400 000,"30,80","25,70",68 500 000
2006,9 060 000,3 750 000,716 000,8 960 000,221 000,12 000 000,"32,90","26,60",67 000 000
2007,9 100 000,3 790 000,1 030 000,9 130 000,187 000,11 900 000,"36,50","28,70",67 600 000
2008,9 300 000,4 690 000,1 040 000,9 280 000,211 000,12 900 000,264,200,68 100 000
2009,8 940 000,2 110 000,1 510 000,8 860 000,232 000,9 520 000,"1,70","1,30",66 600 000
2010,9 070 000,3 640 000,1 520 000,9 140 000,164 000,11 300 000,"70,50","50,90",68 100 000
"NA Not available. ",,,,,,,,,
"1Compiled by D.A. Buckingham (retired), J.A. Ober, and L.E. Apodaca.",,,,,,,,,
"Data are calculated, estimated, or reported.  See notes for more information.",,,,,,,,,
