"RARE EARTHS STATISTICS1",,,,,,,
"U.S. GEOLOGICAL SURVEY",,,,,,,
"[All quantities in metric tons (t) rare-earth oxide equivalent unless otherwise noted]",,,,,,,
"Last modification: December 19, 2011",,,,,,,
"Year","Production","Imports","Exports","Apparent consumption","Unit value ($/t)","Unit value (98$/t)","World production"
1943,"NA","2,34","22,1","4,25",7 240,68 300,1 900
1944,"NA","8,18","16,9","2,31",8 680,80 400,3 200
1945,"NA","13,3","13,0","0,365",9 620,87 500,1 440
1946,"NA","6,31","16,0","83,2",11 100,92 500,721
1947,"NA","0,268","73,4",200,14 400,105 000,1 300
1948,"20,0","0,644","22,2",200,14 700,99 300,2 720
1949,"NA","1,43","28,2",300,8 900,61 000,1 290
1950,383,"54,2","22,3",400,3 540,23 900,470
1951,747,172,"NA",900,1 670,10 400,1 240
1952,1 110,"NA","NA",1 000,3 910,24 000,1 820
1953,615,"1,70","50,1",600,7 090,43 200,3 960
1954,983,"4,78","19,3",2 270,8 630,52 300,7 840
1955,608,"12,5","14,9",2 450,6 720,41 000,5 760
1956,"W","27,8","19,5",2 720,5 070,30 400,5 230
1957,499,"44,3","8,58",2 720,1 920,11 200,5 980
1958,625,"20,6","19,4",2 450,5 100,28 800,8 060
1959,600,"6,7","18,5",2 270,5 050,28 200,2 810
1960,1 050,"17,9","19,5",2 040,3 540,19 500,2 270
1961,1 030,1 450,"11,8",2 460,82,446,3 690
1962,"W",3 840,"17,5",2 110,341,1 840,8 020
1963,278,3 220,"86,2",2 810,319,1 700,6 060
1964,256,1 060,906,2 770,385,2 030,3 680
1965,2 900,1 050,"21,8",5 050,485,2 510,6 960
1966,12 200,1 240,"NA",6 620,284,1 430,16 200
1967,12 900,1 070,"56,9",5 530,562,2 740,16 900
1968,10 300,2 220,"36,2",7 800,401,1 880,16 200
1969,12 500,2 110,"41,6",10 100,420,1 870,18 100
1970,9 110,1 730,"31,2",10 500,412,1 730,15 900
1971,9 820,1 690,284,9 340,1 040,4 190,16 400
1972,10 700,466,597,12 200,3 690,14 400,18 200
1973,17 500,1 080,1 420,14 800,2 150,7 890,24 000
1974,19 900,707,1 770,14 100,3 070,10 100,25 600
1975,15 000,1 300,539,11 500,2 050,6 210,22 100
1976,13 000,1 070,263,12 200,4 380,12 500,19 700
1977,15 400,2 760,867,16 800,2 600,6 990,24 500
1978,14 100,4 010,287,16 800,2 500,6 250,26 500
1979,16 500,3 810,"33,9",16 100,4 580,10 300,28 800
1980,16 000,3 290,8 470,18 100,1 960,3 880,27 300
1981,17 100,4 340,5 350,20 000,1 870,3 350,30 600
1982,17 500,4 210,2 730,17 100,2 360,3 990,26 600
1983,17 100,2 790,2 900,19 600,2 820,4 620,31 400
1984,25 300,4 420,4 550,21 400,2 380,3 730,41 400
1985,13 400,3 390,4 670,12 100,2 190,3 320,43 500
1986,10 900,2 150,3 650,10 900,3 840,5 710,39 900
1987,11 100,1 070,4 540,11 100,3 970,5 700,46 900
1988,11 500,1 840,6 530,16 800,2 230,3 070,55 300
1989,20 800,7 710,1 940,27 800,6 780,8 910,60 700
1990,22 700,5 520,5 860,28 700,8 990,11 200,52 900
1991,16 500,5 930,5 360,22 100,9 470,11 300,41 700
1992,20 700,5 110,5 720,21 400,10 100,11 700,50 100
1993,17 800,6 250,7 170,17 000,9 010,10 200,46 700
1994,20 700,6 990,10 200,17 800,7 980,8 780,55 100
1995,22 200,12 400,10 600,24 000,8 210,8 780,74 300
1996,20 400,17 500,13 000,24 900,7 150,7 430,79 700
1997,20 000,12 200,12 400,19 400,8 540,8 670,68 300
1998,10 000,14 000,9 440,11 500,8 900,8 900,77 100
1999,5 000,21 300,9 620,11 500,6 400,6 260,86 600
2000,5 000,21 700,9 750,12 100,6 450,6 110,90 900
2001,0,19 200,9 100,10 100,5 790,5 330,94 500
2002,0,14 200,8 210,5 990,7 500,6 800,98 200
2003,0,16 700,7 310,9 390,6 150,5 450,97 100
2004,0,17 300,11 800,5 500,8 590,7 410,102 000
2005,0,15 300,9 240,6 060,6 595,5 500,122 000
2006,0,18 500,9 150,9 350,3 890,3 150,137 000
2007,0,17 600,7 450,10 200,5 290,4 160,124 000
2008,0,15 300,7 980,7 410,13 600,10 300,129 000
2009,0,12 100,9 200,"W",9 300,7 100,132 000
2010,0,12 800,7 880,"W",20 000,14 500,133 000
"NA Not available. W Withheld to avoid disclosing company proprietary data.",,,,,,,
"1Compiled by C.A. DiFrancesco (retired),  J.B. Hedrick (retired), and D.J. Cordier.",,,,,,,
"Data are calculated, estimated, or reported.  See notes for more information.",,,,,,,
