SAND AND GRAVEL (INDUSTRIAL) STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: March 31, 2020
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1980	26900000	35400	1070000	25800000	10.2	20.1	NA
1981	27200000	3630	1030000	26200000	11.7	20.9	NA
1982	24900000	81600	742000	24200000	12.4	20.9	NA
1983	24100000	52600	950000	23300000	13.4	22.7	NA
1984	26700000	23600	1080000	25600000	13.7	21.5	NA
1985	26700000	73500	786000	26000000	13.6	20.6	115000000
1986	24900000	79800	770000	24200000	14.1	20.9	113000000
1987	25400000	94300	688000	24800000	13.9	19.9	113000000
1988	25800000	39000	962000	24900000	14.4	19.9	120000000
1989	26500000	31800	1870000	24700000	13.6	17.8	118000000
1990	25800000	66200	1050000	24800000	14.3	17.9	110000000
1991	23200000	82600	1490000	21800000	13.1	15.6	111000000
1992	25200000	164000	1340000	24000000	14	16.3	112000000
1993	26200000	44000	1750000	24500000	14.1	15.9	104000000
1994	27300000	24000	1880000	25400000	13.8	15.1	117000000
1995	28200000	59000	1870000	26400000	13.9	14.9	121000000
1996	27800000	7000	1430000	26400000	13.3	13.8	96000000
1997	28500000	39000	980000	27600000	12.4	12.6	94600000
1998	28200000	44000	2400000	25800000	14.2	14.2	93900000
1999	28900000	211000	1670000	27400000	15	14.6	111000000
2000	28400000	247000	1660000	27400000	14.4	13.6	114000000
2001	27900000	172000	1540000	26500000	16	14.7	114000000
2002	27300000	250000	1410000	26100000	16.7	15.1	113000000
2003	27500000	440000	2620000	25300000	18.3	16.2	115000000
2004	29700000	490000	1790000	28400000	23.1	19.9	119000000
2005	30600000	711000	2910000	28400000	24.6	20.5	113000000
2006	28900000	855000	3830000	25900000	26.3	21.3	116000000
2007	30100000	511000	3020000	27600000	27.6	21.7	129000000
2008	30400000	355000	3100000	27700000	30.8	23.3	118000000
2009	27500000	95000	2150000	25500000	34.3	26	111000000
2010	32300000	132000	3950000	28500000	35.6	26.6	113000000
2011	43800000	316000	4330000	39800000	45.7	33.1	126000000
2012	50600000	306000	4310000	46600000	52.8	37.5	146000000
2013	62100000	161000	2960000	59300000	55.8	39	231000000
2014	110000000	245000	4470000	106000000	74.8	51.5	373000000
2015	102000000	289000	3910000	98400000	47.3	32.5	329000000
2016	79400000	281000	2780000	76900000	35.4	24	290000000
2017	103000000	366000	4680000	97700000	52	35	318000000
2018	121000000	392000	6560000	115000000	56.4	36.7	335000000
1Compiled by K.E. Porter and T.P. Dolley.
Data are calculated, estimated, or reported.  See notes for more information.
