PUMICE AND PUMICITE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: October 4, 2019
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1939	80900	6040	NA	86900	5.25	61.6	NA
1940	74800	3410	NA	78200	6.69	77.9	NA
1941	106000	39	NA	107000	6.29	69.7	NA
1942	115000	61	NA	115000	6.15	61.5	NA
1943	77200	30	NA	77300	7.92	74.7	NA
1944	80500	36	NA	80600	8.74	80.9	NA
1945	142000	9	NA	142000	7.37	67	NA
1946	290000	5860	NA	296000	5.47	45.6	NA
1947	401000	7810	NA	409000	5.04	36.8	NA
1948	551000	8400	NA	560000	4.54	30.7	1270000
1949	650000	8710	NA	659000	3.65	25	1540000
1950	653000	18400	NA	671000	4.08	27.6	1810000
1951	680000	15000	NA	695000	4.05	25.3	2270000
1952	542000	20400	NA	562000	4.18	25.6	2180000
1953	615000	30500	NA	646000	1.27	7.74	5350000
1954	868000	19900	NA	888000	2.88	17.5	5620000
1955	764000	31300	NA	795000	3.2	19.5	6530000
1956	805000	30500	NA	835000	4	24	8350000
1957	957000	33800	71000	920000	3.23	18.8	8260000
1958	839000	36700	100000	776000	3.68	20.8	8440000
1959	711000	23300	NA	735000	4.6	25.7	9710000
1960	545000	52200	NA	598000	4.96	27.3	10800000
1961	849000	32300	NA	882000	4.95	27.1	11900000
1962	484000	77600	NA	561000	6.64	35.9	12400000
1963	953000	143000	NA	1100000	2.29	12.2	15100000
1964	1060000	99700	NA	1160000	3.87	20.4	15200000
1965	438000	173000	260	611000	5.58	28.9	14900000
1966	498000	256000	270	754000	5.28	26.5	14700000
1967	704000	223000	310	927000	2.05	10	14000000
1968	436000	283000	570	719000	3.12	14.7	13600000
1969	543000	349000	480	891000	2.49	11.1	14700000
1970	445000	331000	280	776000	2.78	11.7	14300000
1971	490000	363000	320	852000	2.86	11.5	14800000
1972	717000	543000	230	1260000	2.62	10.2	15600000
1973	748000	282000	2800	1030000	4.83	17.7	14900000
1974	792000	266000	2600	1060000	4.63	15.3	14000000
1975	717000	132000	1100	847000	4.87	14.8	14700000
1976	822000	73500	920	895000	4.66	13.4	15800000
1977	1070000	230000	1600	1300000	4.33	11.7	15500000
1978	1100000	196000	1800	1290000	4.41	11	17800000
1979	1060000	56200	1800	1120000	4.58	10.3	17700000
1980	493000	176000	910	668000	8.66	17.1	15250000
1981	453000	83500	910	535000	9.52	17.1	12800000
1982	377000	110000	910	486000	9.93	16.8	11700000
1983	407000	167000	910	573000	11	18	10700000
1984	455000	266000	910	720000	10.8	17	12200000
1985	461000	220000	910	680000	9.88	15	11000000
1986	503000	349000	1000	851000	11.4	17	10400000
1987	356000	247000	1000	602000	12.6	18.1	10700000
1988	353000	306000	1000	658000	11.7	16.1	10800000
1989	424000	293000	7000	710000	19.4	25.5	12300000
1990	443000	280000	20000	703000	24.1	30.1	11000000
1991	401000	118000	13000	506000	22.9	27.4	10800000
1992	481000	257000	11000	727000	31	36	11100000
1993	469000	143000	18000	594000	25.7	29	11000000
1994	490000	143000	18000	615000	24.1	26.5	11400000
1995	529000	238000	16000	728000	25	26.7	11500000
1996	612000	215000	13000	814000	24.2	25.1	11400000
1997	577000	265000	12000	830000	27.9	28.3	11900000
1998	872000	288000	22000	1140000	21.6	21.6	12800000
1999	998000	354000	23000	1330000	27.7	27.1	13700000
2000	1050000	385000	27000	1410000	17.96	17.0011359334	13700000
2001	919000	379000	27000	1270000	21.4	19.6962724344	15600000
2002	956000	360000	30000	1290000	20.7	18.8	16300000
2003	870000	367000	26000	1210000	25.2	22.3	15800000
2004	1490000	402000	20000	1870000	16.8	14.5	17700000
2005	1270000	240000	15000	1490000	31	25.9	18200000
2006	1540000	109000	18000	1630000	28.9	23.3	19900000
2007	1270000	35000	9000	1290000	22.9	18	20500000
2008	744000	65000	15000	794000	20.2	15.3	16700000
2009	366000	26000	11000	381000	31.1	23.6	16300000
2010	241000	34000	13000	262000	28	20.9	16600000
2011	343000	23000	15000	351000	30.6	22.2	18400000
2012	338000	75000	13000	400000	31.9	22.7	15700000
2013	269000	73000	13000	329000	35	24.2	20100000
2014	269000	60000	14000	315000	38.5	26.5	15900000
2015	310000	64000	11000	363000	32.7	22.5	14500000
2016	374000	170000	9000	535000	38	26	15500000
2017	383000	166000	11000	538000	39	26	18000000
2018	496000	159000	11000	644000	32	21	18100000
NA Not available.
1Compiled by C.A. DiFrancesco, W.P. Bolen, A. Founie, and R.D. Crangle, Jr.
Data are calculated, estimated, or reported.  See notes for more information.
