IRON AND STEEL STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) unless otherwise noted]
Last modification: November 2, 2019.
STEEL STATISTICS
Year	Steel product shipments	Raw steel production	Imports	Exports	Semifinished imports	Stock changes	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1975	72600000	106000000	11300000	3610000	219000	2270000	77800000	252	763	644000000
1976	81100000	116000000	13600000	3330000	218000	-2090000	93200000	250	715	674000000
1977	82700000	114000000	18100000	2810000	270000	2810000	94900000	280	752	673000000
1978	88800000	124000000	20000000	2970000	375000	-544000	106000000	309	772	715000000
1979	60900000	124000000	16700000	3080000	313000	-1450000	75700000	309	693	745000000
1980	76100000	101000000	14800000	4290000	141000	-18000	86500000	357	707	716000000
1981	80200000	110000000	18900000	3230000	717000	NA	95000000	374	670	707000000
1982	65800000	67700000	15800000	2150000	649000	NA	78600000	375	633	644000000
1983	61300000	76800000	16300000	1440000	748000	NA	75200000	441	722	663000000
1984	66700000	83900000	24900000	1280000	1380000	NA	88800000	485	761	711000000
1985	66300000	80100000	23300000	1150000	1700000	NA	86600000	529	802	718000000
1986	63700000	74000000	20100000	1090000	1730000	NA	80800000	531	790	713000000
1987	69500000	80900000	18500000	1020000	1910000	NA	84900000	375	538	734000000
1988	76200000	90700000	19000000	1880000	23400000	NA	69800000	375	516	780000000
1989	76300000	88900000	15700000	4150000	1990000	NA	85700000	441	580	784000000
1990	77100000	89700000	15600000	3900000	2110000	NA	86500000	441	550	771000000
1991	71500000	79700000	14400000	5760000	2050000	NA	77900000	463	554	737000000
1992	74800000	84300000	15500000	3890000	2170000	NA	84100000	375	435	724000000
1993	60800000	88800000	17700000	3600000	4530000	NA	70200000	397	448	730000000
1994	80300000	91200000	27300000	3470000	7200000	NA	96900000	419	461	730000000
1995	88400000	95200000	22100000	6420000	2500000	-1630000	103000000	419	448	752000000
1996	91500000	95500000	26500000	4560000	6000000	403000	108000000	419	435	751000000
1997	96000000	98500000	28300000	5470000	5000000	282000	114000000	441	448	797000000
1998	92900000	98600000	37700000	5010000	6100000	1000	118000000	419	419	770000000
1999	96300000	97400000	32400000	4920000	7780000	-92000	116000000	375	367	784000000
2000	98900000	102000000	34400000	5920000	7760000	103000	120000000	375	355	850000000
2001	89700000	90100000	27300000	5570000	5840000	-908000	107000000	375	345	852000000
2002	90700000	91600000	29600000	5450000	8020000	6880000	100000000	397	360	907000000
2003	96100000	93700000	21000000	7460000	4370000	-1410000	107000000	419	371	974000000
2004	101000000	99700000	32500000	7200000	6730000	2100000	117000000	595	514	1060000000
2005	95200000	94900000	29100000	8520000	6270000	-2730000	112000000	794	662	1140000000
2006	99300000	98200000	41100000	8830000	8460000	3280000	120000000	926	749	1250000000
2007	96500000	98100000	30200000	10100000	6040000	-3860000	114000000	794	624	1350000000
2008	89300000	91900000	29000000	12200000	5420000	-1500000	102000000	1100	834	1330000000
2009	56400000	59400000	14700000	8420000	1850000	-2270000	63100000	794	603	1230000000
2010	75700000	80500000	21700000	11000000	4600000	1430000	80400000	926	692	1430000000
2011	83300000	86400000	25900000	12200000	6060000	577000	90300000	NA	NA	1520000000
2012	87000000	88700000	30400000	12500000	6940000	181000	97800000	NA	NA	1520000000
2013	86600000	86900000	29200000	11500000	6640000	-163000	97497000	NA	NA	1620000000
2014	89100000	88200000	40200000	10900000	9600000	1400000	115000000	NA	NA	1670000000
2015	78500000	78800000	35200000	9050000	6620000	-1500000	99500000	NA	NA	1620000000
2016	78500000	78500000	30000000	8450000	6020000	-900000	94800000	NA	NA	1630000000
2017	82500000	81600000	34600000	9550000	7770000	400000	102000000	NA	NA	1690000000
2018	86400000	86600000	30600000	7980000	7290000	300000	101000000	NA	NA	1810000000
NA Not available.
1Compiled by C.A. DiFrancesco, T.D. Kelly, D.I. Bleiwas, M.D. Fenton, and C.A. Tuck.
Data are calculated, estimated, or reported.  See notes for more information.
