ANTIMONY STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) antimony content unless otherwise noted]
Last modification: May 6, 2020
Year	Mine production	Smelter production	Primary production	Secondary production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1982	456	11100	11600	15100	19	12100	1060	5420	28100	2360	3990	53800
1983	760	13200	14000	12900	1690	11700	607	3570	27000	2010	3290	48400
1984	505	16000	16500	13400	63	20900	899	6260	30200	3330	5230	53400
1985	W	14900	14900	13600	8240	18700	1130	5480	31800	2890	4380	55000
1986	W	16300	16300	14100	417	23000	1070	5560	35200	2690	4000	59900
1987	NA	17900	17900	15800	1250	24200	1500	6090	38000	2450	3510	56100
1988	W	17600	17600	16200	NA	30000	1850	6500	42800	2290	3160	64400
1989	W	19000	19000	19500	NA	25200	2140	6270	41500	2080	2740	68400
1990	W	20100	20100	20400	NA	29400	7730	8180	39000	1800	2250	60400
1991	W	16400	16400	19300	NA	28800	4440	10200	42000	1810	2170	64700
1992	W	20100	20100	19900	NA	31200	5770	8740	44600	1740	2020	76000
1993	266	22000	22300	9620	2660	30900	4220	9080	38900	1700	1920	73000
1994	215	25500	25700	12200	1850	41500	7850	10900	46100	3920	4310	106000
1995	262	23500	23800	10500	1130	36600	8200	10600	43300	5030	5380	103000
1996	242	25600	25800	7780	4300	37600	4450	11000	45000	3240	3370	156000
1997	356	26400	26800	7550	2930	39300	3900	10800	46600	1490	1510	155000
1998	489	24000	24500	7710	4160	34600	4500	10600	42700	1580	1580	117000
1999	450	23800	24300	8220	5790	36800	3660	10900	36500	1380	1350	108000
2000	W	20900	20900	7920	4540	41600	7120	10300	39000	1440	1360	118000
2001	0	9080	9050	5380	4620	37900	7610	4990	42000	1430	1320	157000
2002	0	W	W	5350	4630	28500	4250	5060	34500	1950	1770	118000
2003	0	W	W	5600	2070	26700	3680	6320	29400	2370	2090	116000
2004	0	W	W	3650	0	33500	3810	2830	36800	2870	2550	142000
2005	0	W	W	3030	0	22700	2140	2110	31400	3540	2950	172000
2006	0	W	W	3520	0	23200	2140	2120	24300	5250	4250	173000
2007	W	W	W	3480	0	21900	1950	1900	23700	5660	4450	180000
2008	0	W	W	3180	0	29000	2200	1490	30400	6170	4670	185000
2009	0	W	W	3020	0	20200	2100	1420	21200	5200	3940	158000
2010	0	W	W	2630	0	26200	2540	1560	26100	8850	6610	182000
2011	0	W	W	2860	0	23500	4170	1430	22300	14300	10400	187000
2012	0	W	W	3050	0	22300	4680	1430	20600	12500	8870	181000
2013	0	423	423	4410	0	24300	3970	1470	25200	10200	7140	193000
2014	0	540	540	4280	0	23800	3240	1400	25400	9370	6450	157000
2015	0	645	645	3740	0	22500	3200	1290	23700	7210	4960	151000
2016	0	664	664	3810	0	23300	1950	1090	25800	7390	5020	155000
2017	0	621	621	4370	0	24700	2260	1360	27400	8770	5840	137000
2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	140000
2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	162000
2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	153000
NA Not available. W Withheld to avoid disclosing proprietary data.
1Compiled by D.A. Buckingham, J.F. Carlin, Jr., D.E. Guberman, and K. Klochko.
Data are calculated, estimated, or reported.  See notes for more information.
