ILMENITE AND TITANIUM SLAG1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted2]
Last modification: October 22, 2018
Year	Production	Shipments	Imports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1958	511000	513000	418000	860000	770000	29.01.21	164	1560000
1959	576000	578000	480000	788000	963000	27.09.21	156	1730000
1960	713000	716000	336000	827000	897000	24.03.21	134	2000000
1961	710000	710000	303000	759000	961000	22.02.21	121	2120000
1962	733000	734000	249000	673000	982000	22.02.21	120	1970000
1963	806000	807000	303000	689000	932000	23.03.21	124	1990000
1964	908000	911000	288000	728000	1010000	23.07.21	124	2350000
1965	879000	861000	257000	791000	972000	23.06.21	122	2450000
1966	876000	788000	296000	848000	993000	29.04.21	148	2620000
1967	848000	801000	323000	894000	945000	26.04.21	129	2740000
1968	888000	871000	344000	917000	999000	26.02.21	122	2920000
1969	845000	810000	362000	863000	1040000	31.4	139	3220000
1970	787000	835000	209000	838000	999000	23.09.21	101	3600000
1971	620000	647000	164000	683000	946000	27.04.21	110	3360000
1972	615000	671000	285000	614000	953000	30.07.21	120	3290000
1973	704000	730000	278000	616000	988000	32.8	121	3570000
1974	675000	685000	289000	572000	1010000	37.7	124	4040000
1975	651000	637000	304000	658000	813000	44.3	134	3650000
1976	592000	561000	309000	732000	931000	50.9	146	3980000
1977	579000	492000	441000	787000	922000	47.7	128	4000000
1978	535000	527000	415000	832000	836000	47.5	119	4460000
1979	580000	586000	268000	729000	849000	57.1	129	4310000
1980	505000	539000	501000	1000000	935000	57.6	114	4940000
1981	492000	475000	458000	960000	1010000	76.3	137	4780000
1982	239000	211000	541000	797000	734000	78.8	133	4080000
1983	W	W	361000	433000	814000	61.8	101	3730000
1984	W	W	562000	243000	893000	59.4	93	4970000
1985	W	W	725000	311000	915000	73.1	111	4740000
1986	W	W	750000	326000	982000	80.1	119	4710000
1987	W	W	717000	318000	996000	80.4	115	5510000
1988	W	W	829000	303000	979000	99.8	138	5850000
1989	W	W	798000	333000	1070000	123	162	6120000
1990	W	W	720000	428000	1080000	129	161	5790000
1991	W	W	622000	339000	1080000	159	190	4870000
1992	W	W	832000	385000	1220000	166	193	5560000
1993	W	W	777000	310000	1240000	173	195	5540000
1994	W	W	808000	207000	583000	334	NA	5480000
1995	W	W	861000	201000	1410000	183	195	5820000
1996	W	W	940000	353000	1400000	NA	NA	5840000
1997	W	W	952000	330000	1520000	NA	NA	6020000
1998	W	W	1000000	380000	1300000	NA	NA	6610000
1999	W	W	1070000	489000	1280000	NA	NA	6200000
2000	W	W	919000	337000	1250000	NA	NA	6940000
2001	W	W	1060000	286000	1180000	NA	NA	7150000
2002	W	W	840000	243000	1300000	NA	NA	7280000
2003	W	W	804000	244000	1300000	NA	NA	7830000
2004	W	W	701000	416000	1480000	NA	NA	7730000
2005	W	W	821000	NA	W	NA	NA	7880000
2006	W	W	880000	NA	W	NA	NA	9020000
2007	W	W	995000	NA	W	NA	NA	9400000
2008	W	W	1034000	NA	W	NA	NA	9240000
2009	W	W	674000	NA	W	NA	NA	7290000
2010	W	W	935000	NA	W	NA	NA	10100000
2011	W	W	890000	NA	W	NA	NA	9530000
2012	W	W	992000	NA	W	NA	NA	9500000
2013	W	W	1070000	NA	W	NA	NA	12800000
2014	W	W	1030000	NA	W	NA	NA	12300000
2015	W	W	1050000	NA	W	NA	NA	11200000
2016	W	W	994000	NA	W	NA	NA	8880000
2017	W	W	1240000	NA	W	NA	NA	8330000
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by D.A. Buckingham, J. Gambogi, and G.M. Bedinger.
2Tonnages in table are expressed as gross weight of concentrate.  Titanium content will vary depending on grade of concentrate.
Data are calculated, estimated, or reported.  See notes for more information.
