ALUMINA STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: December 7, 2018
Year	Production	Shipments	Imports 	Exports	Industry stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1986	3110000	3120000	3600000	487000	2040000	5810000	159	236	32800000
1987	4150000	4140000	4070000	1130000	2730000	6400000	141	202	34900000
1988	4770000	5540000	4630000	1040000	1960000	9130000	181	249	38900000
1989	5000000	5090000	4310000	1330000	1970000	7970000	280	368	41500000
1990	5230000	5150000	4070000	1260000	2100000	7910000	305	380	42600000
1991	5230000	5310000	4590000	1340000	1900000	8680000	234	280	42300000
1992	5190000	5260000	4700000	1140000	1720000	8930000	182	211	41100000
1993	5290000	5230000	3940000	1240000	1730000	7980000	182	205	41700000
1994	4860000	4910000	3120000	1040000	1520000	7150000	182	200	40800000
1995	4530000	4630000	4000000	1040000	1420000	7590000	212	227	42300000
1996	4700000	4700000	4330000	918000	1360000	8170000	221	230	44000000
1997	5090000	5090000	3830000	1270000	1340000	7670000	246	250	46000000
1998	5650000	5640000	4050000	1280000	1330000	8430000	215	215	47500000
1999	5140000	5130000	3810000	1230000	1310000	7740000	203	199	48900000
2000	4790000	4770000	3820000	1090000	1330000	7500000	226	214	51700000
2001	4340000	4440000	3100000	1250000	1400000	6120000	206	189.6	51600000
2002	4340000	4310000	3000000	1220000	1410000	6070000	186	168.5	55000000
2003	4860000	4870000	2310000	1170000	1250000	6240000	215	190	57900000
2004	5350000	5490000	1650000	1230000	957000	5570000	278	240	61700000
2005	5220000	5190000	1860000	1210000	834000	5750000	305	255	65000000
2006	5030000	4950000	1860000	1540000	948000	5240000	384	311	72300000
2007	4370000	4290000	2440000	1160000	492000	6100000	395	311	77700000
2008	4300000	4290000	2530000	1160000	642000	5530000	403	305	83000000
2009	2370000	2370000	1850000	946000	257000	3660000	294	223	77200000
2010	3470000	3470000	1790000	1520000	381000	3540000	365	273	86000000
2011	3790000	3790000	2280000	1940000	961000	3710000	413	299	92100000
2012	4370000	4400000	1900000	1750000	363000	5140000	374	266	97100000
2013	4320000	4330000	2050000	2250000	280000	4120000	368	257	106000000
2014	4460000	4410000	1630000	2170000	276000	3930000	394	271	111000000
2015	4550000	4490000	1570000	2210000	274000	3920000	400	275	119000000
2016	2360000	2410000	1140000	1330000	320000	2130000	362	246	121000000
2017	1430000	1450000	1330000	516000	264000	2300000	487	324	129000000
NA Not available.
1Compiled by D.A. Buckingham, P.A. Plunkert, and E.L. Bray.
Data are calculated, estimated, or reported.  See notes for more information.
