SULFUR STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values are in metric tons (t) sulfur content unless otherwise noted]									
Last modification: April 1, 2014									
Year	Production	Imports	Exports	Shipments	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1992	10700000	3380000	1010000	11000000	809000	13400000	48.1	55.9	50700000
1993	11000000	2840000	703000	10500000	1380000	12600000	31.9	35.9	51600000
1994	11500000	2350000	945000	11700000	1160000	13100000	30.1	33.1	53400000
1995	11800000	3140000	962000	12100000	583000	14300000	44.5	47.6	54800000
1996	11800000	2640000	893000	11800000	646000	13600000	34.1	35.4	55200000
1997	12000000	2720000	742000	12000000	761000	14000000	36.1	36.6	56900000
1998	11700000	2940000	940000	12200000	283000	14200000	29.1	29.1	57400000
1999	11500000	3030000	736000	11300000	451000	13800000	37.8	37	57400000
2000	10500000	2790000	849000	10700000	208000	12700000	24.7	23.4	59300000
2001	9470000	2190000	780000	9450000	232000	10900000	10	9.2	59500000
2002	9330000	2910000	757000	9320000	181000	11500000	11.8	10.7	62000000
2003	9650000	3160000	907000	9690000	206000	11900000	28.7	25.4	64100000
2004	10100000	3630000	1020000	10100000	185000	12800000	32.6	28.1	66400000
2005	9500000	3700000	794000	9480000	160000	12400000	30.8	25.7	68500000
2006	9060000	3750000	716000	8960000	221000	12000000	32.9	26.6	67000000
2007	9150000	3790000	1030000	9180000	187000	11900000	32.9	25.9	67800000
2008	9300000	4690000	1040000	9280000	208000	12900000	264	200	68000000
2009	8940000	2110000	1510000	8860000	231000	9520000	1.7	1.3	66700000
2010	9110000	3640000	1520000	9170000	167000	11300000	70.2	52.5	67400000
2011	8950000	4140000	1420000	8930000	176000	11700000	176	128	68600000
2012	9000000	3860000	1900000	9030000	132000	11000000	136	96.7	68100000
NA Not available. 									
1Compiled by D.A. Buckingham, J.A. Ober, and L.E. Apodaca.									
Data are calculated, estimated, or reported.  See notes for more information.									
