NATURAL AND SYNTHETIC RUTILE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted2]
Last modification: October 22, 2018
Year	Production	Shipments	Imports			Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1985	W	W	133000	30000	163000	105000	277000	270	409	376000
1986	W	W	129000	29200	158000	103000	299000	330	491	394000
1987	W	W	146000	52100	198000	108000	321000	364	523	439000
1988	W	W	154000	76800	231000	118000	352000	406	560.054321663	434000
1989	W	W	189000	76300	265000	155000	366000	453	595.159559974	454000
1990	W	W	218000	56600	275000	171000	369000	465	580	456000
1991	W	W	175000	65300	240000	208000	369000	507	606.199679897	460000
1992	W	W	181000	136000	317000	149000	461000	409	474.981599789	491000
1993	W	1000	275000	96600	372000	190000	465000	363	410	501000
1994	W	18000	222000	110000	332000	149000	510000	373	410	545000
1995	W	17000	192000	127000	319000	54700	480000	409	438	416000
1996	W	W	182000	142000	324000	85100	398000	365	379.392911741	366000
1997	W	W	183000	153000	336000	64600	489000	430	437.086756219	425000
1998	W	W	246000	141000	387000	121000	421000	403	403	438000
1999	W	W	225000	119000	344000	106000	494000	406	397.430136401	348000
2000	W	W	265000	173000	438000	109000	537000	387	367	409000
2001	W	W	197000	127000	324000	127000	483000	394	362.336872845	421000
2002	W	W	211000	179000	390000	81700	487000	381	345.189863314	446000
2003	W	W	255000	172000	427000	79700	489000	380	336	384000
2004	W	W	216000	144000	360000	75400	445000	458	395	354000
2005	W	W	184000	182000	366000	NA	NA	432	360.540811217	374000
2006	W	W	251000	104000	355000	NA	NA	457	369.501940492	516000
2007	W	W	379000	84800	464000	NA	NA	434	341	608000
2008	W	W	365000	122000	487000	NA	NA	477	361	634000
2009	W	W	224000	55600	280000	NA	NA	503	382	581000
2010	W	W	265000	122000	387000	NA	NA	480	359	729000
2011	W	W	262000	119000	381000	NA	NA	645	467	801000
2012	W	W	277000	112000	389000	NA	NA	1270	902	790000
2013	W	W	279000	127000	406000	NA	NA	1075	752	629000
2014	W	W	255000	87500	343000	NA	NA	781	538	660000
2015	W	W	292000	102000	393000	NA	NA	716	492	762000
2016	W	W	267000	82700	349000	NA	NA	659	447	886000
2017	W	W	289000	45000	334000	NA	NA	642	427	803000
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by D.A. Buckingham, J. Gambogi, and G.M. Bedinger.
2Tonnages in table are expressed as gross weight of concentrate.  Titanium content will vary depending on grade of concentrate.
Data are calculated, estimated, or reported.  See notes for more information.
