BAUXITE STATISTICS1										
U.S. GEOLOGICAL SURVEY										
[All values are in metric tons (t) gross weight unless otherwise noted]										
Last modification: April 1, 2014										
Year	Production	Shipments	Imports 	Exports	Industry stocks	Government stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1970	2120000	2110000	14100000	3330	3280000	18300000	15900000	12.19	51.2	57800000
1971	2020000	1990000	14200000	34500	3720000	17400000	15900000	12.26	49.3	62100000
1972	1840000	2050000	13100000	29500	3650000	16700000	15600000	13	50.7	64900000
1973	1910000	2040000	13900000	12200	3930000	15600000	16900000	12.5	46	70400000
1974	1980000	2050000	15500000	16000	4590000	15400000	17200000	25.1	83.1	79600000
1975	1800000	1870000	12100000	20000	5790000	15300000	12600000	20.3	61.6	74800000
1976	1990000	1970000	13100000	15000	5450000	15300000	14000000	23.8	68.1	77400000
1977	2010000	1870000	13200000	26000	7950000	15100000	14500000	25.3	68.1	81900000
1978	1670000	1660000	14100000	13000	8360000	14700000	14700000	26.3	65.9	81000000
1979	1820000	2130000	14000000	15000	8580000	14700000	15700000	25.5	57.2	85500000
1980	1560000	1840000	14500000	21000	8340000	14700000	16000000	25.3	51.9	89200000
1981	1510000	1660000	13100000	20000	8290000	14700000	13500000	28.3	50.7	85300000
1982	732000	1250000	10300000	49000	7160000	16300000	9200000	32.6	55.1	79300000
1983	679000	913000	7800000	74000	5610000	16300000	9100000	28.7	47	78700000
1984	856000	1230000	9700000	82000	4880000	17300000	10500000	29.8	46.7	87200000
1985	674000	989000	7500000	56000	3640000	18500000	8200000	29	43.9	84200000
1986	510000	740000	6800000	69000	3320000	18500000	6900000	27.5	41	88200000
1987	576000	680000	9500000	201000	3020000	18500000	9500000	23.3	33.5	91600000
1988	588000	688000	10300000	63000	3020000	18500000	10100000	23.9	32.9	97400000
1989	W	W	11400000	44000	2520000	18500000	11800000	26.8	35.3	103000000
1990	W	W	12700000	53000	2320000	18500000	12000000	27.2	34	113000000
1991	W	W	12200000	66000	2620000	18500000	12300000	30.4	36.3	111000000
1992	W	W	11300000	63000	2320000	17800000	11900000	28.6	33.2	105000000
1993	W	W	11800000	90000	1590000	16900000	12000000	27.8	31.4	110000000
1994	W	W	11000000	129000	1560000	17200000	11200000	25.6	28.2	106000000
1995	W	W	10600000	108000	1730000	16300000	10900000	23.5	25.1	112000000
1996	W	W	10600000	132000	1930000	15700000	11100000	26.8	27.9	117000000
1997	NA	NA	11100000	85000	2260000	14300000	11500000	24.3	24.7	122000000
1998	NA	NA	11400000	99000	1860000	11000000	12900000	22.4	22.4	123000000
1999	NA	NA	10200000	149000	1440000	6800000	11900000	21	20.6	129000000
2000	NA	NA	8860000	142000	1300000	5710000	10800000	22.4	21.2	136000000
2001	NA	NA	8540000	81000	1740000	2070000	9770000	22.4	20.6	137000000
2002	NA	NA	7580000	42000	1280000	1770000	9980000	19.9	18	144000000
2003	NA	NA	8700000	77000	3830000	66000	11300000	19.1	16.9	153000000
2004	NA	NA	10300000	63000	3120000	0	13600000	21.8	18.8	164000000
2005	NA	NA	12600000	52000	W	0	12400000	24.7	20.6	178000000
2006	NA	NA	12400000	34000	W	0	12300000	26.6	21.5	193000000
2007	NA	NA	10600000	23000	W	0	10200000	28.4	22.3	221000000
2008	NA	NA	11600000	24000	W	0	9550000	30.1	22.8	224000000
2009	NA	NA	7430000	30000	1780000	0	4960000	27.7	21	210000000
2010	NA	NA	8810000	40000	95000	0	8180000	27	20.2	238000000
2011	NA	NA	9890000	53000	272000	0	8820000	30.5	22.1	259000000
2012	NA	NA	10700000	29000	440000	0	9560000	28.5	20.2	258000000
NA Not available. W Withheld to avoid disclosing company proprietary data.										
1Compiled by D.A. Buckingham, P.A. Plunkert, and E.L. Bray.										
Data are calculated, estimated, or reported.  See notes for more information.										
