NICKEL STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) nickel content unless otherwise noted]
Last modification: November 13, 2018
Year	Primary production	Secondary production	Imports	Exports	Stocks	Apparent consumption	Unit value  ($/t)	Unit value (98$/t)	World production
1955	3450	10500	129000	15900	8170	99900	1460	8900	239000
1956	6100	13500	130000	34300	11500	116000	1430	8560	259000
1957	9140	10900	127000	10300	22900	111000	1630	9480	286000
1958	10700	6720	81600	10800	12100	71700	1630	9210	224000
1959	10500	8560	102000	10100	12800	102000	1630	9110	285000
1960	13000	8560	93400	41700	10300	98100	1630	8960	320000
1961	10100	9700	115000	42800	16600	108000	1720	9400	361000
1962	10200	10100	112000	21300	12200	108000	1760	9510	357000
1963	10400	17200	108000	47000	15600	113000	1740	9260	339000
1964	11100	21000	117000	52800	15600	133000	1740	9160	371000
1965	12300	17600	148000	16100	12700	156000	1740	9020	425000
1966	12000	24300	128000	20300	28400	170000	1740	8740	412000
1967	13200	18800	130000	24300	28100	158000	1940	9460	449000
1968	13800	12800	134000	26000	24900	145000	2090	9810	497000
1969	14300	17000	117000	26800	15000	129000	2320	10300	487000
1970	14100	21000	142000	24300	22400	141000	2840	11900	628000
1971	14200	24300	129000	20200	14500	117000	2930	11800	637000
1972	14300	32600	158000	16700	23800	145000	3090	12100	611000
1973	12600	59800	173000	4500	66800	239000	3370	12400	710000
1974	12800	58500	200000	3900	80700	257000	3840	12700	770000
1975	13000	37700	146000	6700	67600	199000	4560	13800	802000
1976	12600	47400	171000	14000	63600	221000	4960	14200	792000
1977	11700	45700	177000	15100	51300	231000	5000	13400	828000
1978	10200	40100	213000	15100	52500	247000	4500	11300	658000
1979	10600	52100	161000	21700	50600	205000	5860	13200	686000
1980	10200	44700	172000	17700	107000	187000	6230	12300	779000
1981	9350	47200	190000	17800	151000	187000	5970	10700	726000
1982	3140	39000	118000	33900	112000	164000	4810	8130	621000
1983	W	45200	138000	21200	92100	175000	4670	7650	673000
1984	8710	50000	160000	39800	88000	186000	4770	7490	773000
1985	4730	48700	143000	32000	72700	197000	4980	7540	813000
1986	1500	39700	117000	19600	62600	163000	3880	5770	852000
1987	0	32300	135000	21000	53600	172000	4840	6940	891000
1988	0	48700	146000	27900	56100	181000	13800	19000	952000
1989	347	52100	137000	31500	56600	178000	13300	17500	987000
1990	3700	57400	145000	37100	55800	185000	8860	11100	974000
1991	7070	53500	139000	36900	61500	179000	8160	9760	1010000
1992	8960	55900	128000	33900	61400	175000	7000	8130	1010000
1993	4880	54000	133000	33200	61700	176000	5290	5970	928000
1994	0	62100	133000	41700	47300	196000	6340	6970	932000
1995	8290	68300	157000	51500	44800	219000	8230	8800	1040000
1996	15100	64400	150000	46800	42700	211000	7500	7790	1060000
1997	16000	72100	158000	56500	37200	226000	6930	7040	1140000
1998	4290	65700	156000	43500	31600	215000	4630	4630	1180000
1999	0	84900	149000	38900	22800	225000	6010	5880	1170000
2000	0	94500	167000	58100	26100	241000	8640	8180	1290000
2001	0	85900	144000	57000	24200	215000	5950	5470	1350000
2002	0	98000	130000	45900	17000	219000	6770	6130	1350000
2003	0	99900	137000	53600	19000	217000	9630	8530	1370000
2004	0	99700	155000	56300	17900	228000	13800	11900	1350000
2005	0	98500	159000	63200	19100	233000	14700	12300	1460000
2006	0	104000	173000	67300	19900	228000	24200	19600	1570000
2007	0	94000	141000	116000	19800	205000	37200	29300	1740000
2008	0	86700	149000	106000	21700	206000	21100	16000	1630000
2009	0	79800	118000	97000	19900	172000	14600	11100	1410000
2010	0	81900	153000	93000	23100	190000	21800	16300	1710000
2011	0	90100	159000	78400	24800	215000	22900	16600	2340000
2012	0	89800	155000	69500	23200	215000	17500	12400	2570000
2013	0	109000	153000	72700	22500	220000	15000	10500	2610000
2014	4300	115000	195000	70100	24900	264000	16900	11600	2140000
2015	27200	108000	157000	87000	23400	226000	11800	8120	2120000
2016	24100	120000	143000	96300	20300	224000	9590	6513	2000000
2017	22100	122000	188000	82500	18500	262000	10400	6916	2160000
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by T.G. Goonan, P.H. Kuck, and E.K. Schnebele, M. E. McRae
Data are calculated, estimated, or reported.  See notes for more information.
