COPPER STATISTICS1												
U.S. GEOLOGICAL SURVEY												
[All values are in metric tons (t) copper content unless otherwise noted]												
Last modification: April 1, 2014												
Year	Primary production	Secondary production	New scrap	Refinery scrap	Imports	Exports	Stocks	Consumption	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1984	1170000	461000	659000	307000	445000	91000	568000	2120000	2120000	1470	2310	7810000
1985	1060000	503000	636000	372000	378000	38000	320000	1980000	2140000	1480	2240	7990000
1986	1070000	477000	649000	406000	502000	12000	225000	2100000	2140000	1460	2170	7940000
1987	1130000	498000	716000	415000	469000	9000	113000	2130000	2200000	1820	2610	8240000
1988	1410000	518000	789000	446000	333000	58000	97000	2210000	2210000	2660	3660	8720000
1989	1480000	548000	761000	480000	300000	130000	107000	2200000	2180000	2890	3800	9040000
1990	1580000	536000	775000	441000	262000	211000	101000	2150000	2170000	2710	3380	9200000
1991	1580000	533000	667000	418000	289000	271000	132000	2050000	2090000	2410	2890	9330000
1992	1710000	554000	722000	433000	289000	177000	205000	2180000	2310000	2370	2750	9470000
1993	1790000	543000	748000	460000	343000	217000	153000	2360000	2510000	2020	2280	9490000
1994	1840000	500000	827000	392000	470000	157000	119000	2680000	2680000	2450	2690	9500000
1995	1930000	443000	874000	352000	429000	217000	163000	2530000	2540000	3050	3260	10000000
1996	2010000	428000	891000	345000	543000	169000	146000	2610000	2830000	2400	2500	11000000
1997	2070000	498000	967000	396000	632000	92900	314000	2790000	2940000	2360	2400	11500000
1998	2140000	466000	956000	349000	725000	86200	532000	2890000	3030000	1730	1730	12100000
1999	1890000	381000	949000	230000	915000	25200	566000	2980000	3130000	1670	1640	12800000
2000	1580000	358000	955000	209000	1020000	93600	345000	3020000	3090000	1940	1840	13200000
2001	1630000	316000	833000	172000	1200000	22500	957000	2620000	2510000	1690	1560	13700000
2002	1440000	208000	842000	69900	1060000	26600	1030000	2370000	2590000	1670	1510	13600000
2003	1250000	207000	737000	53300	687000	93300	656000	2290000	2430000	1880	1670	13800000
2004	1260000	191000	774000	50800	704000	118000	134000	2410000	2550000	2950	2550	14700000
2005	1210000	183000	769000	47200	977000	39500	63500	2270000	2420000	3830	3190	15000000
2006	1210000	151000	819000	44800	1070000	106000	194000	2110000	2200000	6940	5610	15100000
2007	1270000	162000	772000	46000	832000	51100	130000	2140000	2270000	7230	5690	15500000
2008	1220000	159000	700000	53800	721000	36500	199000	2020000	2000000	7040	5330	15600000
2009	1110000	138000	639000	46400	645000	80800	434000	1650000	1580000	5320	4040	16000000
2010	1060000	143000	642000	37700	583000	78300	384000	1760000	1760000	7679.511	5740	16100000
2011	992000	153000	649000	37300	649000	40400	409000	1760000	1730000	8950	6490	16300000
2012	962000	163000	645000	39000	628000	159000	236000	1760000	1770000	8100	5750	16900000
NA Not available. 												
1Compiled by K.E. Porter, D.L. Edelstein, and M. Brininstool.												
Data are calculated, estimated, or reported.  See notes for more information.												
