TOTAL CLAY STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values are in metric tons (t) gross weight unless otherwise noted]						
Last modification: April 1, 2014						
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1976	47800000	35100	2260000	45600000	8.31	23.8
1977	48500000	32700	2320000	46200000	9.1	24.5
1978	51800000	22400	2390000	49400000	10.6	26.6
1979	49800000	46400	2910000	47000000	12.9	29
1980	44500000	30900	2920000	41600000	15.4	30.5
1981	40400000	30200	2860000	37600000	18.7	33.6
1982	32200000	22000	2380000	29900000	18.9	31.8
1983	37200000	18900	2250000	34900000	19.5	31.9
1984	39800000	28700	2450000	37300000	19.9	31.1
1985	40900000	37100	2520000	38400000	18.4	27.9
1986	40600000	34800	2640000	38000000	19.8	29.4
1987	43400000	34200	3020000	40400000	17.4	24.9
1988	44500000	32800	3540000	41000000	21.6	29.7
1989	42400000	27800	3760000	38700000	25.3	33.2
1990	42200000	29600	4090000	38200000	24	29.9
1991	41200000	35300	4000000	37200000	23.5	28.1
1992	40400000	41200	4160000	36300000	22.7	26.3
1993	40900000	39400	4150000	36700000	22.4	25.3
1994	42000000	35600	4620000	37400000	23.3	25.6
1995	43100000	35000	4680000	38500000	24.2	25.9
1996	43200000	44500	4840000	38400000	23.6	24.5
1997	41700000	63700	5080000	36700000	22.5	22.8
1998	41900000	86400	5230000	36800000	23.3	23.3
1999	42200000	90400	4810000	37500000	20.4	20
2000	40800000	95400	5260000	35600000	18.7	17.7
2001	39600000	148000	4970000	34800000	21	19.4
2002	39300000	217000	4960000	34600000	23.3	21.1
2003	40000000	279000	5130000	35100000	24.4	21.6
2004	41200000	251000	5630000	35800000	22.5	19.4
2005	41200000	301000	5620000	35900000	20.1	16.8
2006	41200000	346000	5980000	35600000	23.9	19.3
2007	36700000	231000	5650000	31300000	28.6	22.5
2008	32700000	237000	5100000	27800000	25.2	19.1
2009	24500000	325000	3830000	21000000	32.8	24.9
2010	25600000	555000	4360000	21800000	35.8	26.8
2011	25700000	593000	4240000	22100000	37.2	27
2012	25800000	524000	4170000	22200000	32.4	23
NA Not available. 						
1Compiled by D.A. Buckingham and R.L. Virta.						
Data are calculated, estimated, or reported.  See notes for more information.						
