SILVER STATISTICS1											
U.S. GEOLOGICAL SURVEY											
[All values in metric tons (t) silver content unless otherwise noted]											
Last modification: April 1, 2014											
Year	Mine production	Primary production	Secondary production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1946	713	656	1140	NA	1120	1170	NA	2710	25700	214000	3970
1947	1110	1200	867	NA	1700	916	NA	3060	23100	169000	5220
1948	1180	1220	743	NA	1550	40	NA	3270	23800	161000	5440
1949	1080	1090	705	NA	1980	93.5	NA	2740	23100	159000	5570
1950	1320	1320	1410	NA	2310	143	NA	3420	23800	161000	6320
1951	1240	1240	1450	NA	1620	199	NA	3270	28600	179000	6210
1952	1230	1240	779	NA	1390	62.4	NA	3000	27300	168000	6700
1953	1170	1170	603	NA	1360	31.8	NA	3300	27300	167000	6900
1954	1150	1110	579	NA	1300	52	NA	2680	27300	166000	6670
1955	1160	1130	687	NA	898	150	NA	3150	28600	174000	7000
1956	1200	1200	933	NA	3100	107	NA	3110.34734804	29300	175000	7020
1957	1190	1200	1190	NA	3300	278	NA	2970	29300	170000	7190
1958	1060	1140	1120	NA	974	34	NA	2660	28600	162000	7430
1959	970	715	1310	NA	912	282	NA	3140	29300	163000	6910
1960	957	1140	700	NA	537	818	NA	3170	29300	161000	7320
1961	1080	1090	902	NA	488	1220	NA	3280	29600	162000	7370
1962	1140	1130	124	NA	1220	382	NA	3430	35000	189000	7650
1963	1100	1090	199	NA	541	939	NA	3420	41200	219000	7780
1964	1130	1150	417	NA	265	3320	NA	3830	41500	218000	7730
1965	1240	1210	221	NA	214	1220	NA	4260	41500	215000	8010
1966	1360	2470	1140	NA	841	2650	NA	5710	41500	208000	8300
1967	1010	1680	1040	NA	929	2130	1617.38062098	5319.65817283	49800	243000	8030
1968	1020	2280	1790	NA	1300	3190	2401.18815269	4520	68800	323000	8560
1969	1300	2600	2480	NA	1230	1800	2665.56767727	4400	57550	255900	9200
1970	1400	2530	1740	2190	920	536	2547.37447804	3990	56910	238900	9360
1971	1290	2140	935	3	696	264	1748.0152096	4020	49830	200600	9170
1972	1160	2410	967	0	799	830	1620.49096833	4700	54010	210500	9380
1973	1170	2340	1070	0	2530	255	1194.37338165	6670	82310	301900	9700
1974	1050	1970	1740	0	2800	177	1533.40124258	4900	151400	500600	9260
1975	1090	1870	1590	0	1920	704	1076.18018242	4990	142100	430500	9430
1976	1070	1690	1560	0	2090	236	951.7662885	5350	139900	400500	9840
1977	1190	1400	1490	0	2160	280	1107.2836559	4780	148500	399600	10300
1978	1230	1690	1150	0	1910	311	921.689229645	4980	173600	433800	10700
1979	1180	1580	1240	0	2440	508	497.717782633	4900	356600	800900	10800
1980	1010	1220	1650	0	2020	1780	536.690434904	3880	663300	1312000	10700
1981	1270	1460	1220	62	2360	471	649.285008903	3630	338200	606200	11200
1982	1250	1510	933	0	3010	400	636.594791723	3750	255600	431700	11500
1983	1350	1800	915	0	5010	425	542.72450876	3690	367800	601900	12100
1984	1390	1850	866	0	2910	322	659.922396834	5300	261700	410800	13100
1985	1230	1670	866	0	4240	392	574	6390	197400	299200	13100
1986	1070	1320	762	317	3900	314	550	5670	175900	261500	13000
1987	1240	1420	810	442	2110	350	471	3990	225400	323300	14000
1988	1660	1470	852	207	2260	444	480	4140	209900	289300	15500
1989	2010	1720	714	337	3060	430	544	5060	176800	232500	16400
1990	2120	1940	454	107	2700	736	583	4360	155000	193300	16600
1991	1860	1880	215	255	2530	787	618	3830	130000	155400	15600
1992	1800	2160	145	356	2660	911	677	4060	127000	147200	14900
1993	1640	1790	162	404	2180	705	735	3260	138000	156000	14100
1994	1490	1810	1700	186	2060	868	929	4820	170000	187000	14000
1995	1560	NA	NA	220	2630	2810	NA	4880	166000	177100	14900
1996	1570	NA	NA	232	2580	2900	NA	4930	167000	173400	15100
1997	2180	2200	1360	109	2120	2980	395	4980	157000	159700	16500
1998	2060	2300	1700	250	2800	2250	400	5300	178000	178000	17200
1999	1950	2000	1500	277	2660	481	NA	5500	169000	165000	17600
2000	1980	2780	1680	717	3810	279	3600	6280	161000	152000	18100
2001	1740	2640	1060	437	2940	707	3490	6780	141000	130000	18700
2002	1350	2580	1030	21	4020	624	3510	7300	149000	135000	18800
2003	1240	2580	1010	0	4000	135	3680	8000	158000	140000	18800
2004	1250	1140	1920	0	3410	422	4220	6700	215000	186000	20000
2005	1230	2530	981	0	3880	166	3970	6140	236000	197000	20800
2006	1160	2210	1110	0	4280	1500	3540	5130	373000	302000	20100
2007	1280	791	1130	0	4210	660	4190	5250	431000	339000	20800
2008	1250	779	1210	0	3860	413	4130	6320	482000	365000	21400
2009	1250	796	1340	0	2800	167	3650	6110	472000	359000	22200
2010	1280	819	1330	0	4630	523	3380	7530	649000	485000	23800
2011	1120	790	1710	0	5250	625	3800	5920	1130000	819000	23300
2012	1060	796	1660	0	4030	837	4720	5990	1000000	713000	25500
NA Not available. 											
1Compiled by K.E. Porter, H.E. Hilliard, W.E. Brooks, M.W. George, and F.C. Katrivanos.											
Data are calculated, estimated, or reported.  See notes for more information.											
