TIN STATISTICS1											
U.S. GEOLOGICAL SURVEY											
[All values in metric tons (t) tin content unless otherwise noted]											
Last modification: April 1, 2014											
Year	Primary production	Secondary production	Imports	Exports	Government shipments	Government stocks	Industry stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1964	W	14000	32600	4110	31700	NA	38100	82800	3480	18300	197000
1965	3150	15200	41500	2870	11700	NA	41900	64900	3930	20400	204000
1966	3890	15600	42300	2890	15200	NA	38600	77400	3620	18200	211000
1967	3100	13700	51000	3310	6190	NA	36900	72400	3380	16500	218000
1968	3510	13600	58300	2480	2910	NA	36500	76200	3270	15300	232000
1969	351	13900	55800	2950	1680	NA	31100	74200	3620	16100	229000
1970	NA	12100	51400	4520	3520	NA	26700	66900	3840	16100	232000
1971	4060	11500	47700	2300	1760	NA	25200	64200	3690	14800	235000
1972	4270	11400	53300	1150	237	NA	25800	67500	3910	15300	244000
1973	4880	11900	46600	3460	12900	NA	24400	74200	5020	18400	238000
1974	6100	11700	40200	8550	30700	NA	21700	82900	8740	28900	233000
1975	6500	9130	44400	3600	813	NA	21600	57300	7490	22700	222000
1976	5730	10100	45100	2340	3640	NA	17900	65900	8370	24000	218000
1977	6720	11300	47800	5480	2680	NA	21300	59600	11800	31700	231000
1978	5900	13500	46800	4630	345	NA	17200	66000	13900	34700	241000
1979	4600	13400	48400	569	0	NA	16600	66400	16200	36400	245000
1980	3000	11700	46000	595	25	NA	12100	64600	18700	36900	245000
1981	2000	10400	45900	2360	5920	NA	11100	62900	16200	29000	238000
1982	3500	10400	27900	5770	4170	NA	10300	41000	14400	24400	219000
1983	2500	10800	34000	1340	2870	NA	9860	49300	14400	23600	197000
1984	4000	11100	41200	1430	2400	NA	9680	57500	13800	21600	188000
1985	4300	10000	33800	1490	3010	NA	12400	46900	13100	19900	181000
1986	4350	10200	35800	1550	5490	NA	13900	52800	8450	12600	173000
1987	5280	11500	41200	1320	4080	NA	14500	60100	9230	13200	180000
1988	2050	11300	43500	1210	2390	NA	15000	57500	9730	13400	205000
1989	1570	11000	34000	904	2780	NA	14700	48800	11500	15100	233000
1990	0	13200	33800	658	2150	NA	17300	45900	8520	10600	221000
1991	0	8800	29100	970	6200	NA	13800	46600	8000	9600	201000
1992	0	8900	27300	1890	6310	NA	10700	43700	8870	10300	191000
1993	W	6900	33700	2600	6020	NA	10800	43900	7710	8700	190000
1994	0	7400	32400	2560	5620	NA	10400	43300	8140	8950	178000
1995	0	7720	33200	2790	11500	NA	11700	48300	9160	9800	201000
1996	0	7710	30200	3670	11800	NA	10900	46800	9090	9450	220000
1997	0	7830	40600	4660	11700	NA	11200	55200	8410	8540	241000
1998	0	7790	44000	5020	12200	NA	10500	59700	8230	8230	231000
1999	0	7720	47500	6770	765	NA	10700	49000	8070	7900	245000
2000	0	6560	44900	6640	12000	59700	10400	57200	8160	7730	278000
2001	0	6700	37500	4350	12000	54300	9620	52600	6940	6390	246000
2002	0	6760	42200	2940	8960	45400	8900	52500	6440	5830	233000
2003	0	5500	37100	3690	8880	35600	7960	48700	7490	6640	258000
2004	0	5240	47600	3650	10600	25100	8980	58800	12100	10400	298000
2005	0	11800	37500	4330	8370	16700	8270	54700	10600	8850	296000
2006	0	11600	43300	5490	8410	8200	7890	57100	12500	10100	293000
2007	0	12200	34600	6410	4540	3850	9100	43700	19800	15600	301000
2008	0	11700	36300	9800	60	4020	8560	38800	24900	18900	258000
2009	0	11100	33000	3170	0	4020	7070	42400	18500	14100	237000
2010	0	11100	35300	5630	0	4020	6410	41400	27300	20400	253000
2011	0	11000	34200	5450	0	4020	5880	40300	34700	25100	255000
2012	0	11200	36900	5560	0	4020	6140	42300	28300	20100	240000
NA Not available. W Withheld to avoid disclosing company proprietary data.											
1Compiled by C.A. DiFrancesco, J.F. Carlin, Jr., and A.C. Tolcin.											
Data are calculated, estimated, or reported.  See notes for more information.											
											
