FELDSPAR STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: October 16, 2018
Year	Production	Shipments	Imports	Imports     (nepheline syenite)	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1954	535000	516000	993	NA	3840	NA	535000	8	51	945000
1955	560000	541000	1380	NA	4510	NA	560000	8	49	1070000
1956	569000	552000	1660	NA	6100	NA	569000	10	61	1130000
1957	506000	456000	4110	NA	6100	NA	506000	10	56	1260000
1958	477000	426000	6760	NA	4060	NA	477000	9	51	1210000
1959	557000	508000	5290	NA	10200	NA	557000	10	54	1370000
1960	510000	479000	7140	NA	10200	NA	510000	9	51	1570000
1961	505000	491000	2590	NA	4060	NA	505000	10	55	1630000
1962	500000	478000	3380	NA	13200	NA	500000	10	55	1630000
1963	558000	543000	3120	NA	6100	NA	558000	10	53	1710000
1964	597000	587000	3230	NA	8130	NA	597000	9	48	1890000
1965	635000	602000	3510	NA	5080	NA	635000	10	51	2010000
1966	666000	638000	3300	NA	7110	111000	666000	11	53	2150000
1967	625000	602000	3110	NA	6100	114000	626000	11	55	2040000
1968	678000	663000	3430	NA	13000	102000	678000	12	57	2240000
1969	685000	719000	4770	NA	5740	66000	685000	13	58	2450000
1970	659000	588000	3530	NA	5050	135000	659000	15	61	2530000
1971	674000	546000	2280	NA	3610	261000	674000	15	60	2550000
1972	677000	527000	1030	NA	4790	399000	673000	16	61	2720000
1973	718000	534000	333	NA	8670	257000	710000	18	66	2770000
1974	692000	497000	84	NA	16600	228000	675000	17	54	3010000
1975	608000	491000	391000	391000	8650	217000	991000	18	56	2630000
1976	671000	663000	455000	455000	5570	NA	1120000	23	67	2800000
1977	666000	667000	456000	456000	5620	NA	1120000	23	63	2940000
1978	667000	667000	497000	497000	9340	NA	1150000	24	60	3030000
1979	671000	675000	486000	486000	11200	NA	1150000	27	61	3110000
1980	644000	644000	458000	458000	11800	NA	1090000	32	63	3200000
1981	603000	594000	459000	459000	12700	NA	1050000	30	54	3230000
1982	558000	553000	413000	413000	9800	NA	962000	34	58	3520000
1983	644000	644000	370000	370000	8490	NA	1010000	36	58	3590000
1984	644000	635000	343000	343000	9140	NA	978000	38	59	3790000
1985	635000	635000	303000	302000	8420	NA	929000	37	57	4030000
1986	665000	666000	272000	271000	10900	NA	928000	40	59	4120000
1987	655000	650000	284000	280000	8740	NA	931000	40	58	4380000
1988	650000	660000	287000	281000	12400	NA	925000	41	56	4840000
1989	655000	644000	315000	303000	9330	NA	961000	42	55	5180000
1990	630000	600000	287000	276000	24800	NA	893000	44	55	5990000
1991	580000	550000	307000	289000	8430	NA	878000	44	53	5670000
1992	725000	750000	348000	335000	17700	NA	1060000	40	46	5990000
1993	770000	770000	296000	289000	17700	NA	1050000	43	49	6170000
1994	765000	750000	340000	333000	17300	NA	1090000	45	49	6490000
1995	880000	835000	325000	316000	14700	NA	1190000	47	50	7910000
1996	890000	875000	254000	247000	10200	NA	1130000	53	55	8290000
1997	900000	895000	355000	346000	7220	NA	1250000	53	54	8650000
1998	820000	915000	327000	320000	13200	NA	1130000	56	56	9330000
1999	875000	875000	318000	311000	9880	NA	1180000	56	55	9980000
2000	790000	790000	363000	356000	11400	NA	1140000	60.1	56.9	9540000
2001	800000	800000	342000	336000	5460	NA	1140000	59.8	55	11800000
2002	790000	790000	338000	333000	9590	NA	1120000	61	55.2	14100000
2003	800000	800000	316000	308000	8950	NA	1110000	63.8	56.5	13600000
2004	770000	770000	371000	350000	9630	NA	1130000	64.4	55.5	15100000
2005	750000	750000	366000	340000	15200	NA	1100000	69.2	57.8	16800000
2006	760000	760000	431000	426000	10400	NA	1180000	67.1	54.3	20600000
2007	730000	730000	395000	391000	9980	NA	1120000	72.7	57.1	21600000
2008	650000	650000	323000	321000	14600	NA	960000	76.5	57.9	22300000
2009	550000	550000	310000	308000	7520	NA	850000	84.3	64.1	19000000
2010	500000	500000	370000	368000	16800	NA	850000	103.6	77.5	21600000
2011	580000	580000	396000	394000	17400	NA	960000	87.9	63.7	21200000
2012	560000	560000	388000	386000	13600	NA	930000	81.9	58.1	22100000
2013	550000	550000	495000	491000	17700	NA	1000000	92.1	64.5	22400000
2014	530000	530000	511000	503000	16000	NA	1000000	93.8	64.5	23900000
2015	520000	520000	569000	449000	15100	NA	1100000	100.5	69.2	25100000
2016	470000	470000	609000	572000	5890	NA	1100000	100.7	68.4	23800000
2017	440000	440000	1750000	1460000	5340	NA	2200000	55.7	38.4	24700000
2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	25600000
2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	23000000
2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	23000000
NA Not available.
1Compiled by T.D. Kelly, M.J. Potter, D.J.Cordier, and A.O. Tanner.
Data are calculated, estimated, or reported.  See notes for more information.
