SALT STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: January 19, 2017
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value  (98$/t)	World production
1965	31500000	2190000	624000	33000000	6.86	35.5	109000000
1966	33100000	2250000	601000	34700000	6.96	35	111000000
1967	35300000	2580000	615000	37300000	7.11	34.7	119000000
1968	37400000	3140000	660000	39900000	7.28	34.1	126000000
1969	40100000	3000000	650000	42500000	7.17	31.9	137000000
1970	41600000	3210000	384000	44500000	7.32	30.7	146000000
1971	40000000	3500000	608000	42900000	7.59	30.6	144000000
1972	40800000	3140000	788000	43200000	7.26	28.3	146000000
1973	39800000	2910000	552000	42200000	7.68	28.2	155000000
1974	42200000	3050000	473000	44800000	8.54	28.2	166000000
1975	37200000	2920000	1210000	38900000	9.89	30	162000000
1976	40100000	3950000	914000	43100000	10.8	30.8	161000000
1977	39400000	4110000	914000	42600000	11.5	30.8	157000000
1978	38900000	4880000	704000	43100000	12.8	32.1	168000000
1979	41500000	4790000	632000	45700000	13	29.1	173000000
1980	36600000	4780000	754000	40600000	17.9	35.5	169000000
1981	35300000	3920000	949000	38300000	18.1	32.4	171000000
1982	34400000	4950000	908000	38400000	19.5	33	164000000
1983	31400000	5440000	469000	36300000	19	31.2	159000000
1984	35600000	6850000	744000	41700000	19	29.8	173000000
1985	36300000	5630000	820000	41200000	20.4	30.8	173000000
1986	33300000	6050000	1060000	38300000	20	29.8	175000000
1987	33100000	5190000	491000	37800000	20.7	29.7	179000000
1988	35300000	4970000	802000	39500000	19.8	27.3	186000000
1989	35300000	5520000	1420000	39300000	22	29	192000000
1990	36900000	5970000	2270000	40600000	22.4	27.9	183000000
1991	35900000	6190000	1780000	40300000	22.3	26.7	202000000
1992	34800000	5390000	992000	39200000	23.1	26.8	185000000
1993	38200000	5870000	688000	43400000	23.7	26.7	187000000
1994	39700000	9630000	742000	48600000	24.9	27.4	191000000
1995	40800000	7090000	670000	47200000	24.5	26.2	199000000
1996	42900000	10600000	869000	52600000	24.7	25.7	204000000
1997	40600000	9160000	748000	49000000	24.5	24.8	221000000
1998	40800000	8770000	731000	48800000	24.2	24.2	200000000
1999	44400000	8870000	892000	52400000	25	24.5	210000000
2000	43300000	8960000	642000	51600000	24	22.7	195000000
2001	42200000	12900000	1120000	54000000	26.3	24.2	199000000
2002	37700000	8160000	689000	45100000	26.8	24.3	214000000
2003	41100000	12900000	718000	53200000	27.5	24.4	225000000
2004	45000000	11900000	1110000	55800000	28.2	24.3	235000000
2005	45000000	12100000	879000	56200000	29.2	24.4	249000000
2006	40600000	9490000	973000	49100000	32.2	26	261000000
2007	45500000	8640000	833000	53300000	33.4	26.3	261000000
2008	47400000	13900000	1030000	60200000	35.8	27.1	261000000
2009	43100000	14700000	1450000	56400000	40.5	30.8	265000000
2010	43500000	12900000	595000	55800000	38.8	29	269000000
2011	45500000	13800000	846000	58500000	38.9	28.2	272000000
2012	34900000	9880000	809000	44000000	41.9	29.7	259000000
2013	43100000	11900000	525000	54500000	46	32.2	296000000
2014	46000000	20200000	935000	65300000	47.5	33.7	293000000
2015	42800000	21600000	830000	63600000	55	37.8	290000000
2016	40200000	12100000	716000	51600000	54.5	37	280000000
2017	38000000	12600000	1120000	49000000	55.6	37	288000000
NA Not available.
1Compiled by K.E. Porter, D.S. Kostick, and W.P. Bolen.
Data are calculated, estimated, or reported.  See notes for more information.
