NICKEL PRIMARY PRODUCTION STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values are in metric tons (t) nickel content unless otherwise noted]								
Last modification: April 1, 2014								
Year	Smelter production from laterite	Refinery production from matte	Byproduct of lead or cobalt production	Byproduct of copper production	Byproduct of talc production	Byproduct of palladium and platinum production	USGS reported primary production	Adjusted primary production
1925	NA	NA	NA	246.75424928	NA	NA	246.75424928	246.75424928
1926	NA	NA	NA	293.02067102	NA	NA	293.02067102	293.02067102
1927	NA	NA	NA	780.1788764	NA	NA	780.1788764	780.1788764
1928	NA	NA	NA	473.55043428	NA	NA	473.55043428	473.55043428
1929	NA	NA	NA	308.4428116	NA	NA	308.4428116	308.4428116
1930	NA	NA	NA	279.41289992	NA	NA	279.41289992	279.41289992
1931	NA	NA	NA	338.37990802	NA	NA	338.37990802	338.37990802
1932	NA	NA	NA	176.9010243	NA	NA	176.9010243	176.9010243
1933	NA	NA	NA	114.30527724	NA	NA	114.30527724	114.30527724
1934	NA	NA	NA	142.42800418	NA	NA	142.42800418	142.42800418
1935	NA	NA	NA	145.1495584	NA	NA	145.1495584	145.1495584
1936	NA	NA	NA	97.06876718	NA	NA	97.06876718	97.06876718
1937	NA	NA	NA	198.67345806	NA	NA	198.67345806	198.67345806
1938	NA	NA	NA	377.38885184	NA	NA	377.38885184	377.38885184
1939	NA	NA	NA	357.43078756	NA	NA	357.43078756	357.43078756
1940	NA	NA	NA	502.58034596	NA	NA	502.58034596	502.58034596
1941	NA	NA	0	561.54735406	37	NA	598.54735406	598.54735406
1942	NA	NA	0	550	5	NA	555	555
1943	NA	NA	0	582.41260308	W	NA	582.41260308	582.41260308
1944	NA	NA	0	632.30776378	264	NA	896.30776378	896.30776378
1945	NA	NA	0	652.26582806	396	NA	1050	1050
1946	NA	NA	0	319.32902848	0	NA	319.32902848	319.32902848
1947	NA	NA	0	586.04134204	0	NA	586.04134204	586.04134204
1948	NA	NA	0	801.04412542	0	NA	801.04412542	801.04412542
1949	NA	NA	0	716.6759446	0	NA	716.6759446	716.6759446
1950	NA	NA	0	828.25966762	0	NA	828.25966762	828.25966762
1951	0	0	0	685.82808	0	NA	686	685.82808
1952	0	0	0	574.24494	0	NA	574	574.24494
1953	9.97898	0	NA	536.14338	0	NA	546	546.12236
1954	174.17856	0	NA	579.68802	0	NA	754	753.86658
1955	3040	0	NA	409.13818	0	NA	3450	3450
1956	5530	0	NA	565.17314	0	NA	6100	6100
1957	8680	0	NA	455.40436	0	NA	9140	9140
1958	10200	0	NA	455.40436	0	NA	10700	10700
1959	10100	0	NA	447.23974	0	NA	10500	10500
1960	10800	1610	NA	565.17314	0	NA	13000	13000
1961	9570	0	NA	566.9875	0	NA	10100	10100
1962	9590	0	NA	587.85264	0	NA	10200	10200
1963	9730	0	NA	641.37626	0	NA	10400	10400
1964	10200	0	NA	860.91382	0	NA	11100	11100
1965	11500	0	NA	765.65992	0	NA	12300	12300
1966	11100	0	NA	912.62308	0	NA	12000	12000
1967	11800	0	NA	1430	0	NA	13200	13200
1968	11900	0	NA	1920	0	NA	13800	13800
1969	11900	0	NA	2460	0	NA	14300	14400
1970	11500	0	NA	2640	0	NA	14100	14100
1971	11900	0	NA	2340	0	NA	14200	14200
1972	12000	0	NA	2270	0	NA	14300	14300
1973	11700	0	NA	869.07844	0	NA	12600	12600
1974	12000	205	NA	791.96814	0	NA	12800	12800
1975	13000	7240	NA	1010	0	NA	13000	13000
1976	12600	18200	NA	1090	0	NA	12600	12600
1977	11700	22700	NA	1010	0	NA	11700	11700
1978	10200	23600	NA	1050	0	NA	10200	10200
1979	10600	29500	NA	1160	0	NA	10600	10600
1980	10200	29900	NA	964.43345077	0	NA	10200	10200
1981	9350	34900	NA	1220	0	NA	9350	9350
1982	3140	37600	NA	812.059228013	0	NA	3140	3140
1983	W	30300	NA	799.213266821	0	NA	NA	NA
1984	8710	32000	NA	782.696366339	0	NA	8710	8710
1985	4730	28300	NA	763.169202586	0	NA	4730	4730
1986	1500	0	NA	791.043216892	0	NA	1500	2290
1987	0	0	NA	937.201501891	0	NA	0	937.201501891
1988	0	0	NA	1030	0	NA	0	1030
1989	347	0	NA	1070	0	NA	347	1417
1990	3700	0	NA	1120	0	NA	3700	4820
1991	7070	0	NA	1220	0	NA	7070	8290
1992	8960	0	NA	1220	0	NA	8960	10200
1993	4880	0	NA	1220	0	NA	4880	6100
1994	0	0	NA	1260	0	NA	0	1260
1995	8290	0	NA	1240	0	NA	8290	9530
1996	15100	0	NA	1270	0	NA	15100	16400
1997	16000	0	NA	1320	0	NA	16000	17300
1998	4290	0	NA	1250	0	NA	4290	5540
1999	0	0	NA	1100	0	NA	0	1100
2000	0	0	NA	939.834900672	0	0	0	1880
2001	0	0	NA	688.591907423	0	358	0	1050
2002	0	0	NA	688	0	639	0	1330
2003	0	0	NA	505	0	636	0	1140
2004	0	0	NA	504	0	671	0	1180
2005	0	0	NA	493	0	685	0	1180
2006	0	0	NA	489	0	737	0	1230
2007	0	0	NA	120	0	531	0	651
2008	0	0	NA	W	0	423	0	W
2009	0	0	NA	W	0	388	0	W
2010	0	0	NA	W	0	525	0	W
2011	0	0	NA	W	0	573	0	W
2012	0	0	NA	W	0	508	0	W
NA Not available. W Withheld to avoid disclosing company proprietary data.								
1Compiled by T.G. Goonan and P.H. Kuck.								
Data are calculated, estimated, or reported.  See notes for more information.								
