COBALT STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) cobalt content unless otherwise noted]
Last modification: November 6, 2018
Year	Primary production	Secondary production	Mine shipments	Government shipments	Imports	Exports	Stocks	Reported consumption	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World mine production	World refinery production
1993	0	1610	0	289	5940	795	1460	6480	7350	31300	35300	21900	16600
1994	0	1840	0	1500	6780	1360	1490	7500	8730	42200	46400	18000	20000
1995	0	1870	0	1550	6440	1300	1080	7590	8970	58300	62400	24500	23300
1996	0	2280	0	2050	6710	1660	1070	7990	9380	56400	58600	26200	25600
1997	0	2750	0	1620	8430	1570	1090	9160	11200	46300	47000	27400	27100
1998	0	3080	0	2310	7670	1680	1000	9380	11500	44200	44200	36300	31400
1999	0	2700	0	1530	8150	1550	1160	8660	10700	33700	33000	33900	33100
2000	0	2590	0	2960	8770	2630	1120	8980	11700	29700	28100	39000	36000
2001	0	2810	0	3050	9410	3210	1330	9540	11800	23300	21500	46000	38700
2002	0	2750	0	524	8450	2080	1140	8270	9830	17100	15500	53400	40800
2003	0	2130	0	2380	8080	2710	1010	8030	10000	20600	18200	54600	43200
2004	0	2300	0	1630	8720	2500	1210	8990	9950	43400	37400	60300	48500
2005	0	2030	0	1110	11100	2440	1190	9150	11800	33600	28100	65200	54100
2006	0	2010	0	260	11600	2850	1180	9280	11000	30700	24800	70000	53800
2007	0	1930	0	617	10300	3100	1310	9320	9630	54600	42900	73700	53500
2008	0	1930	0	203	10700	2850	1160	8910	10100	68400	51800	79900	57600
2009	0	1790	0	180	7680	2440	780	7640	7580	34200	26000	81200	62100
2010	0	2000	0	-8	11100	2640	903	8130	10300	39700	29700	110000	79500
2011	0	2210	0	0	10600	3320	1080	9180	9300	36100	26200	102000	82400
2012	0	2160	0	0	11100	3760	1030	8730	9540	30500	21600	96800	77900
2013	0	2160	0	0	10400	3850	1110	8170	8660	27900	19500	103000	86700
2014	120	2200	NA	0	11300	4500	1420	8650	8710	30600	21100	113000	92600
2015	760	2750	NA	0	11400	3830	1490	8830	10300	29200	20100	117000	99800
2016	690	2750	NA	0	12800	4160	1420	9010	11500	25500	17300	109000	96600
2017	640	2750	NA	0	11900	5730	1430	9240	8910	48400	32200	120000	117000
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by D.A. Buckingham and K.B. Shedd.
Data are calculated, estimated, or reported.  See notes for more information.
