IRON AND STEEL STATISTICS1
U.S. GEOLOGICAL SURVEY
  [All values in metric tons (t) unless otherwise noted]
Last modification: January 28, 2020
PIG IRON STATISTICS
Year	Primary production	Shipments	Imports	Exports	Apparent consumption	Unit value   ($/t)	Unit value (98$/t)	World production
1978	79600000	80300000	594000	46300	80800000	205	512	506000000
1979	78900000	79600000	432000	95300	79900000	212	476	532000000
1980	62300000	63000000	363000	66200	63300000	217	429	514000000
1981	66900000	67300000	425000	14500	67700000	227	408	502000000
1982	39300000	39400000	292000	49000	39600000	230	388	457000000
1983	44200000	44500000	220000	5440	44700000	226	370	463000000
1984	47100000	43100000	112000	51700	43200000	215	338	495000000
1985	45300000	45800000	307000	29000	46100000	223	338	499000000
1986	40200000	39900000	268000	37200	40100000	207	307	495000000
1987	43800000	43700000	322000	45000	44000000	209	300	509000000
1988	50600000	51000000	635000	65000	51600000	235	324	539000000
1989	50700000	51300000	443000	11000	51700000	NA	NA	546000000
1990	49700000	49700000	347000	14000	50000000	NA	NA	531000000
1991	44100000	NA	434000	15000	44500000	NA	NA	509000000
1992	47400000	NA	497000	33000	47900000	NA	NA	503000000
1993	48200000	NA	828000	27000	49000000	NA	NA	507000000
1994	49400000	NA	2440000	56000	51800000	NA	NA	516000000
1995	50900000	NA	2360000	56000	53200000	NA	NA	536000000
1996	49400000	NA	2660000	60000	52000000	NA	NA	516000000
1997	49600000	NA	3150000	86000	52700000	NA	NA	540000000
1998	48200000	NA	5140000	87000	53300000	NA	NA	535000000
1999	46300000	NA	4990000	82000	51200000	NA	NA	539000000
2000	47900000	NA	4970000	72000	52800000	NA	NA	573000000
2001	42100000	NA	4370000	44000	46400000	NA	NA	585000000
2002	40200000	NA	4620000	34000	44800000	NA	NA	608000000
2003	40600000	NA	3890000	86000	44400000	NA	NA	673000000
2004	42300000	NA	6400000	48000	48700000	NA	NA	720000000
2005	37200000	NA	6030000	51000	43200000	NA	NA	802000000
2006	37900000	NA	6730000	813000	43800000	NA	NA	881000000
2007	36300000	NA	5220000	71000	41400000	NA	NA	956000000
2008	33700000	NA	4980000	51000	38600000	NA	NA	931000000
2009	19000000	NA	2420000	11000	21400000	NA	NA	919000000
2010	26800000	NA	3780000	68000	30500000	NA	NA	1040000000
2011	30200000	NA	4190000	51000	34300000	NA	NA	1100000000
2012	32100000	NA	4270000	94000	36300000	NA	NA	1120000000
2013	30300000	NA	4120000	18000	34400000	NA	NA	1170000000
2014	29400000	NA	4600000	7000	34000000	NA	NA	1190000000
2015	25400000	NA	4530000	17000	30000000	NA	NA	1160000000
2016	22300000	NA	3870000	37000	26100000	NA	NA	1170000000
2017	22400000	NA	5130000	37000	27500000	NA	NA	1190000000
2018	24100000	NA	4050000	14000	28100000	NA	NA	1260000000
NA Not available.
1Compiled by C.A. DiFrancesco, T.D. Kelly, D.I. Bleiwas, M.D. Fenton, and C.A. Tuck.
Data are calculated, estimated, or reported.  See notes for more information.
