MANGANESE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) manganese content unless otherwise noted]
Last modification:  January 19, 2017
Year	 Production	Imports	Exports	Stocks                       	Reported consumption Mn ore	Reported consumption Mn alloys	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1945	236000	601000	907.18	NA	652000	527000	836000	49.2899861639	446.467265978	1900000
1946	187000	713000	11800	NA	504000	415000	870000	49.1534566168	410.295965082	1650000
1947	184000	625000	19100	NA	619000	544000	790000	51.3716484254	374.975535952	1750000
1948	200000	708000	18100	NA	665000	550000	890000	53.4285199184	361.736763158	1830000
1949	154000	632000	7260	1520000	575000	498000	797000	58.1213042839	397.546540929	2160000
1950	171000	877000	4000	1650000	628000	619000	960000	70.6111493167	478.071423945	2530000
1951	224000	868000	4000	1630000	796000	716000	1100000	73.3976007359	460.750789303	3180000
1952	190000	1180000	5000	2020000	746000	651000	971000	84.4408453746	518.678411392	4440000
1953	244000	1550000	4000	2710000	891000	760000	1120000	96.6213067785	589.154309625	4940000
1954	161000	967000	4000	3110000	725000	582000	720000	88.9460054376	539.393604837	4500000
1955	239000	953000	4000	3180000	885000	760000	1120000	81.9372000495	499.008526489	4870000
1956	224000	1070000	4000	3660000	931000	700000	807000	95.7191472146	574.200043279	5310000
1957	233000	1540000	8000	4280000	985000	761000	1150000	121.370755976	703.190938445	5820000
1958	178000	1100000	4000	4680000	632000	556000	865000	108.541050569	612.188666492	5580000
1959	139000	1110000	4000	4970000	688000	624000	963000	102.088633462	570.965511531	5830000
1960	106000	1200000	5000	5160000	839000	657000	977000	95.0520693219	523.126413439	6120000
1961	70800	1060000	6000	5520000	741000	648000	764000	103.271065879	562.785100159	6110000
1962	66200	980000	8170	5670000	808000	675000	887000	87.9772746511	474.271022378	6400000
1963	85300	1020000	5440	5780000	789000	755000	994000	75.0413449511	399.581176523	6630000
1964	71700	1040000	13600	5780000	983000	862000	1100000	78.8836812574	414.522760154	7240000
1965	75300	1300000	11000	5900000	1230000	896000	1250000	76.9253235654	397.546891811	7980000
1966	79800	1310000	9070	6050000	1020000	878000	1230000	80.6282275717	404.963473489	8150000
1967	66200	1060000	9980	6080000	1020000	823000	1090000	79.197356931	386.70584439	7510000
1968	43500	955000	13600	6020000	961000	850000	1040000	71.1972178286	333.632698353	7800000
1969	84400	1130000	12700	6030000	1000000	883000	1190000	64.588791931	287.188936998	8420000
1970	59900	989000	27200	5840000	1050000	822000	1200000	67.5813888445	283.716997668	8200000
1971	34500	1040000	27200	5830000	958000	743000	1060000	72.9179620113	293.550571704	9070000
1972	26300	996000	17200	5600000	1030000	795000	1240000	86.9131197409	338.710521204	9080000
1973	28100	960000	36300	5140000	929000	927000	1410000	97.4401385025	357.44731659	9740000
1974	31800	879000	103000	4590000	825000	936000	1350000	159.855921741	528.449328069	9270000
1975	17200	1010000	119000	4470000	803000	748000	1030000	211.259789318	639.987244223	9810000
1976	28100	1020000	67100	4220000	716000	759000	1240000	246.287741776	705.291356748	10000000
1977	24500	848000	70800	3640000	602000	746000	1380000	268.520780228	722.41264522	8690000
1978	34500	800000	106000	3130000	590000	828000	1280000	287.936972384	719.482689616	8690000
1979	28100	864000	53500	2840000	607000	825000	1130000	318.397289309	715.178098179	9800000
1980	20900	780000	47200	2730000	459000	680000	933000	353.798722024	700.037043973	9670000
1981	21800	831000	44500	2610000	460000	701000	932000	360.835040447	646.773687841	8400000
1982	3630	490000	24500	2470000	258000	393000	610000	444.267280821	750.324743829	8580000
1983	3630	492000	24500	2450000	233000	384000	606000	363.261762412	594.439146477	7780000
1984	9980	550000	39000	2370000	272000	437000	569000	403.413471266	633.202748808	8600000
1985	1810	552000	39900	2260000	241000	416000	633000	393.652101753	596.623373375	8690000
1986	907.18	625000	29900	2190000	221000	351000	662000	374.599221939	557.024865337	8830000
1987	1810	547000	42600	2060000	231000	383000	634000	393.67918661	564.738468814	8340000
1988	907.18	765000	48100	2100000	244000	425000	682000	486.536566707	670.529998218	8650000
1989	907.18	777000	41700	2110000	261000	397000	723000	606.891461698	798.121333112	9250000
1990	907.18	611000	54400	2040000	241000	411000	630000	687.884462136	858.139299072	9080000
1991	0	565000	52000	1950000	237000	362000	598000	806.997721992	965.770370982	7600000
1992	0	554000	32000	1880000	214000	366000	596000	654.229249012	760.112988279	7260000
1993	0	624000	37000	1770000	195000	365000	696000	605	683	7070000
1994	0	644000	30500	1690000	219000	372000	694000	602	662	6530000
1995	0	657000	32400	1640000	231000	384000	676000	599	640	7970000
1996	0	765000	40400	1590000	231000	368000	776000	650	676	8180000
1997	0	626000	66700	1540000	222000	373000	643000	635	645	7520000
1998	0	692000	32800	1460000	240000	343000	776000	591	591	7330000
1999	0	711000	29900	1420000	233000	331000	719000	535	523	6390000
2000	0	764000	27200	1380000	238000	328000	768000	582	551	6960000
2001	0	620000	26500	1280000	236000	289000	692000	529	487	7580000
2002	0	641000	17800	1220000	181000	277000	696000	471	426	7800000
2003	0	593000	22900	1150000	201000	276000	643000	599	530	8790000
2004	0	885000	74200	920000	228000	341000	1030000	1090	944	9900000
2005	0	805000	25000	873000	187000	305000	773000	712	594	11000000
2006	0	869000	26300	697000	172000	314000	1060000	800	646	11500000
2007	0	878000	48400	490000	174000	303000	979000	1190	935	12000000
2008	0	930000	65500	516000	235000	347000	844000	2380	1800	13400000
2009	0	391000	55800	408000	242000	276000	451000	1370	1040	11300000
2010	0	757000	37300	407000	234000	311000	721000	1500	1120	14700000
2011	0	824000	19700	509000	257000	327000	699000	1460	1060	15400000
2012	0	829000	17100	477000	241000	418000	843000	1400	997	15500000
2013	0	793000	11400	465000	250000	419000	794000	1620	1140	17500000
2014	0	824000	12900	432000	244000	411000	838000	1350	931	17400000
2015	0	694000	12600	446000	221000	393000	707000	1210	834	17500000
NA Not available.
1Compiled by T.G. Goonan, T.S. Jones, and L.A. Corathers.
Data are calculated, estimated, or reported.  See notes for more information.
