LEAD STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) lead content unless otherwise noted]
Last modification: December 20, 2018
Year	Primary production	Secondary production	Imports	Exports	Government shipments	Stocks	Apparent consumption 	Unit value ($/t)	Unit value (98$/t)	World production
2002	262000	1100000	218000	43400	6000	111000	1530000	961	871	2850000
2003	245000	1140000	183000	123000	60000	84600	1490000	965	855	3200000
2004	148000	1130000	208000	82600	52600	59000	1470000	1220	1050	3150000
2005	143000	1150000	310000	64600	29000	46800	1480000	1350	1130	3470000
2006	153000	1160000	343000	68500	24000	56000	1580000	1710	1380	3630000
2007	123000	1180000	267000	56500	0	51600	1540000	2730	2150	3710000
2008	135000	1140000	314000	74800	0	72500	1490000	2650	2010	3880000
2009	103000	1110000	252000	82000	0	63300	1400000	1920	1460	3780000
2010	115000	1140000	273000	85000	0	64800	1440000	2400	1790	4160000
2011	118000	1130000	316000	47200	0	48300	1540000	2690	1950	4750000
2012	111000	1110000	349000	47000	0	71700	1520000	2520	1790	5080000
2013	114000	1150000	485000	41600	0	66900	1710000	2520	1770	5260000
2014	0	1020000	593000	55300	0	66400	1560000	2340	1610	5240000
2015	0	1050000	521000	55700	0	64000	1520000	2010	1380	4880000
2016	0	986000	533000	42700	0	101000	1480000	2080	1410	4820000
2017	0	1130000	658000	23900	0	NA	1760000	2520	1680	4580000
NA Not available.
1Compiled by C.A. DiFrancesco, G.R. Smith, P.N. Gabby, D.E. Guberman, and K. Klochko
Data are calculated, estimated, or reported.  See notes for more information.
