MICA (NATURAL), SCRAP AND FLAKE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: November 15th, 2018
Year	Production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1989	101000	13000	5000	7000	109000	222	292	253000
1990	101000	13000	5000	7000	105000	223	278	207000
1991	75000	11000	4000	7000	84000	231	276	192000
1992	84000	12000	4000	7000	95000	258	300	180000
1993	92000	14000	5000	7000	105000	293	331	180000
1994	95000	18000	6000	14000	97000	302	332	214000
1995	98000	22000	7000	13000	112000	253	271	242000
1996	103000	18000	8000	7000	107000	326	339	225000
1997	110000	23200	8130	NA	122000	337	342	315000
1998	104000	22800	8050	NA	137000	300	300	289000
1999	111000	25700	11300	NA	125000	329	321.886312494	278000
2000	112000	28300	10300	NA	119000	335	317.114729269	328000
2001	89000	32300	9300	418	121000	316	290.842153705	369000
2002	98000	38000	9810	417	106000	349	316.209114796	278000
2003	94000	35000	10000	404	103000	400	354.358610914	279000
2004	99200	42000	10000	NA	131000	358	308.913624989	400000
2005	78000	36000	9000	NA	105000	354	295.443164747	359000
2006	110000	45200	7230	NA	148000	332	268.434670116	1090000
2007	96600	41000	7710	NA	130000	368	289.308176101	1120000
2008	85200	24600	8680	NA	101000	512	387.614505262	1200000
2009	51100	19900	8030	NA	63000	562	427	1060000
2010	56100	26400	6480	NA	76000	731	546	1110000
2011	52000	27500	5870	NA	73600	614	445	412000
2012	47500	27400	6510	NA	68400	630	447	340000
2013	48100	30900	6450	NA	72600	595	416	382000
2014	48200	33400	8080	NA	73500	660	455	341000
2015	32600	33200	7440	NA	58400	616	424	338000
2016	28000	31500	6340	NA	53200	647	439	340000
2017	40000	29700	6790	NA	62900	679	452	356000
NA Not available.
1Compiled by C.A. DiFrancesco (deceased),  J.B. Hedrick (retired),  C.L.Thomas, S.M. Jasinski, and K.C. Curry.
Data are calculated, estimated, or reported.  See notes for more information.
