MANUFACTURED ABRASIVES STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values in metric tons (t) gross weight unless otherwise noted]								
Last modification: April 1, 2014								
SILICON CARBIDE								
Year	Production	Government shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1959	120 000	NA	76 100	7 470	9 620	NA	183	1 025
1960	121 000	NA	80 300	7 430	14 500	NA	171	942
1961	114 000	NA	66 900	11 100	13 300	NA	176	959
1962	104 000	NA	52 400	9 280	17 400	NA	170	918
1963	98 900	NA	62 000	8 900	10 200	NA	157	836
1964	120 000	NA	72 700	10 200	13 600	NA	154	810
1965	125 000	51	82 600	11 600	8 260	NA	159	823
1966	144 000	NA	95 300	8 120	15 900	NA	150	755
1967	129 000	NA	83 500	5 860	11 700	NA	152	742
1968	144 000	NA	98 000	6 430	16 100	NA	165	773
1969	146 000	NA	101 000	5 700	8 260	NA	164	728
1970	152 000	NA	98 900	5 840	195 000	NA	159	668
1971	118 000	NA	91 600	6 170	191 000	NA	179	720
1972	151 000	NA	97 100	4 540	183 000	NA	164	640
1973	147 000	0	106 000	7 010	183 000	NA	173	635
1974	148 000	70 400	91 600	12 400	112 000	NA	229	757
1975	122 000	34 700	78 000	11 800	73 100	NA	262	794
1976	144 000	NA	81 600	9 170	83 400	NA	319	914
1977	174 000	NA	87 100	10 200	81 200	NA	309	831
1978	165 000	NA	103 000	11 000	6 580	NA	311	778
1979	178 000	NA	93 400	9 260	78 400	NA	353	793
1980	154 000	NA	75 300	12 400	90 400	NA	417	825
1981	142 000	NA	77 100	10 400	86 400	NA	486	871
1982	102 000	NA	60 800	6 330	86 800	NA	536	905
1983	98 900	NA	76 200	5 070	84 100	NA	526	861
1984	124 000	NA	64 400	5 460	87 500	NA	460	722
1985	102 000	NA	56 200	4 700	85 200	NA	417	632
1986	112 000	NA	75 300	3 860	89 500	NA	429	638
1987	113 000	NA	84 400	4 770	78 600	NA	432	620
1988	118 000	1 260	101 000	4 280	68 800	NA	428	590
1989	117 000	12 200	92 000	8 540	59 200	NA	482	634
1990	105 000	9 250	75 100	8 200	54 500	NA	489	610
1991	79 000	6 330	70 000	10 200	44 900	NA	500	598
1992	84 300	6 330	89 000	13 500	45 500	NA	516	599
1993	74 900	5 800	115 000	16 800	36 000	NA	533	601
1994	84 700	2 520	110 000	16 000	35 300	NA	501	551
1995	75 400	4 000	172 000	19 900	30 700	NA	496	530
1996	73 600	4 000	181 000	14 200	21 200	NA	489	508
1997	68 200	5 770	239 000	16 100	17 400	NA	535	543
1998	69 800	9 970	269 000	11 600	1 240	NA	568	568
1999	65 000	1 240	169 000	8 560	0	NA	600	587
2000	45 000	0	190 000	10 000	0	NA	584	553
2001	40 000	0	133 000	10 500	0	NA	600	552
2002	30 000	0	165 000	13 700	0	181 000	532	482
2003	35 000	0	169 000	13 200	0	189 000	529	469
2004	35 000	0	209 000	13 900	0	230 000	614	530
2005	35 000	0	201 000	15 600	0	220 000	603	503
2006	35 000	0	186 000	20 300	0	201 000	693	560
2007	35 000	0	164 000	19 300	0	180 000	744	585
2008	35 000	0	127 000	17 000	0	145 000	740	560
2009	35 000	0	78 000	20 700	0	92 300	739	561
2010	35 000	0	143 000	23 100	0	155 000	739	552
2011	35 000	0	129 000	27 800	0	136 000	739	536
2012	35 000	0	100 000	20 000	0	115 000	739	525
NA Not available.								
1Compiled by T.D. Kelly and D.W. Olson.								
Data are estimated, calculated, or reported.  See notes for more information.								
