MISCELLANEOUS CLAYS STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values are in metric tons (t) gross weight unless otherwise noted]						
Last modification: April 1, 2014						
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1944	8240000	2460	84800	8160000	0.8	7.41
1945	9840000	1480	70200	9770000	0.99	8.97
1946	18300000	3860	91300	18200000	0.87	7.27
1947	19800000	3420	125000	19600000	0.88	6.43
1948	22400000	3350	132000	22300000	0.91	6.15
1949	21500000	3050	129000	21400000	0.91	6.23
1950	24000000	2790	123000	23800000	0.97	6.56
1951	25100000	4320	169000	24900000	1.18	7.4
1952	24000000	9200	159000	23900000	1.3	8
1953	25600000	3670	152000	25500000	1.26	7.69
1954	27100000	3880	182000	26900000	1.34	8.12
1955	29800000	4960	224000	29600000	1.19	7.24
1956	31100000	2390	272000	30800000	1.33	7.97
1957	27600000	3980	266000	27300000	1.36	7.89
1958	27800000	NA	NA	27800000	1.37	7.73
1959	31500000	NA	252000	31200000	1.32	7.39
1960	31100000	NA	247000	30900000	1.33	7.32
1961	30700000	NA	277000	30400000	1.31	7.14
1962	31200000	NA	281000	30900000	1.32	7.12
1963	32600000	NA	329000	32300000	1.35	7.19
1964	34700000	NA	408000	34300000	1.36	7.15
1965	35700000	NA	207000	35500000	1.34	6.93
1966	36400000	NA	NA	36400000	1.37	6.89
1967	35700000	NA	274000	35400000	1.46	7.13
1968	37300000	NA	415000	36900000	1.52	7.12
1969	38500000	NA	358000	38100000	1.65	7.33
1970	36000000	3300	488000	35500000	1.62	6.81
1971	40600000	3160	337000	40300000	1.68	6.76
1972	42200000	28400	370000	41800000	1.76	6.86
1973	45200000	5230	405000	44800000	1.77	6.5
1974	41000000	5290	433000	40600000	1.92	6.35
1975	32400000	4120	291000	32100000	2.06	6.24
1976	34100000	4350	332000	33800000	2.34	6.7
1977	34400000	4350	319000	34100000	2.73	7.34
1978	36400000	4110	298000	36100000	3.41	8.53
1979	33800000	6110	272000	33600000	3.63	8.15
1980	29500000	7620	263000	29200000	3.89	7.7
1981	25000000	11000	239000	24800000	4.4	7.89
1982	20400000	8570	216000	20200000	4.54	7.67
1983	24700000	7880	162000	24500000	4.69	7.68
1984	25900000	11900	189000	25700000	4.95	7.77
1985	27400000	16600	207000	27200000	4.82	7.3
1986	27200000	20200	252000	27000000	5	7.44
1987	29300000	19100	273000	29100000	5.01	7.19
1988	29100000	19900	272000	28800000	4.99	6.88
1989	26700000	20600	210000	26500000	5.26	6.91
1990	25900000	22900	238000	25700000	5.26	6.56
1991	24700000	28500	197000	24500000	5.33	6.38
1992	25100000	25600	262000	24900000	5.44	6.32
1993	25300000	27900	293000	25000000	5.42	6.11
1994	25800000	19400	295000	25500000	5.31	5.84
1995	25600000	17100	338000	25300000	5.9	6.31
1996	26200000	21200	364000	25900000	5.5	5.71
1997	24600000	21400	390000	24200000	6.1	6.19
1998	24500000	21800	432000	24100000	5.92	5.92
1999	24800000	22800	329000	24500000	6.25	6.12
2000	23700000	23800	357000	23400000	5.7	5.4
2001	23200000	26100	337000	22900000	5.56	5.12
2002	23000000	29900	449000	22600000	6.43	5.83
2003	23100000	26063	416000	22700000	6.09190604191	5.39
2004	24600000	30332	586000	24000000	7.97356775551	6.88
2005	24300000	25000	634000	23700000	7.24	6.04
2006	24200000	26000	607000	23600000	10	8.09
2007	20600000	23000	279000	20340000	10.5	8.25
2008	17500000	4000	466000	17000000	11.5	8.71
2009	12500000	7530	374000	12100000	12.5	9.5
2010	11900000	6190	382000	11500000	12.3	9.19
2011	11700000	7030	209000	11500000	12.1	8.8
2012	11700000	76700	213000	11600000	10.4	7.37
NA Not available. 						
1Compiled by D.A. Buckingham and R.L. Virta.						
Data are calculated, estimated, or reported.  See notes for more information.						
