IRON AND STEEL STATISTICS1										
U.S. GEOLOGICAL SURVEY										
[All values in metric tons (t) unless otherwise noted]  										
Last modification:April 1, 2014										
STEEL STATISTICS										
Year	Steel product shipments	Raw steel production	Imports	Exports	Semifinished imports	Stock changes	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1995	88400000	95200000	22100000	6420000	2500000	-1630000	103000000	120	128	752000000
1996	91500000	95500000	26500000	4560000	6000000	403000	108000000	116	120	751000000
1997	96000000	98500000	28300000	5470000	5000000	282000	114000000	116	118	797000000
1998	92900000	98600000	37700000	5010000	6100000	1000	118000000	114	114	770000000
1999	96300000	97400000	32400000	4920000	7780000	-92000	116000000	105	103	784000000
2000	98900000	102000000	34400000	5920000	7760000	103000	120000000	108	103	850000000
2001	89700000	90100000	27300000	5570000	5840000	-908000	107000000	101	93	852000000
2002	90700000	91600000	29600000	5450000	8020000	6880000	100000000	105	94.9	907000000
2003	96100000	93700000	21000000	7460000	4370000	-1410000	107000000	110	97	974000000
2004	101000000	99700000	32500000	7200000	6730000	2100000	117000000	147	127	1060000000
2005	95200000	94900000	29100000	8520000	6270000	-3010000	113000000	160	133	1140000000
2006	99300000	98200000	41100000	8830000	8460000	3300000	120000000	174	141	1250000000
2007	96500000	98100000	30200000	10100000	6040000	-5640000	116000000	183	144	1350000000
2008	89400000	91900000	29000000	12200000	5420000	-1500000	102000000	221	167	1330000000
2009	56400000	59400000	14700000	8420000	1850000	-2270000	63100000	165	125	1230000000
2010	75700000	80500000	21700000	11000000	4600000	1430000	80400000	192	143	1430000000
2011	83300000	86400000	25900000	12200000	6100000	600000	90300000	216	157	1520000000
2012	87000000	88700000	30400000	12500000	6900000	140000	97800000	208	148	1550000000
NA Not available. 										
1Compiled by C.A. DiFrancesco (retired), T.D. Kelly (retired), D.I. Bleiwas, and M.D. Fenton. 										
Data are calculated, estimated, or reported.  See notes for more information.										
