MOLYBDENUM STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values in metric tons (t) molybdenum content unless otherwise noted]									
Last modification: April 1, 2014									
Year	Production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1999	42400	42800	14000	32700	12000	27900	5850	5720	129000
2000	40900	40400	15000	27900	11400	28600	5630	5330	135000
2001	37600	37000	12800	31500	10700	20200	5190	4780	132000
2002	32300	32300	11500	23700	9970	20700	8280	7500	122000
2003	33500	33600	11900	21900	7180	26200	11800	10400	131000
2004	41500	42000	17300	34500	7480	24100	36700	31700	159000
2005	58000	57900	20700	42100	9420	34700	70100	58500	186000
2006	59800	60100	16700	34500	6990	44400	54600	44200	186000
2007	57000	57100	18300	33700	7640	41000	66800	52500	212000
2008	55900	57800	14500	34700	6990	36400	63000	47700	221000
2009	47800	63700	11400	27900	7620	30600	25800	19600	223000
2010	59400	59400	19700	31600	8750	46400	34900	26100	247000
2011	63700	62800	21100	35400	10700	47400	34300	24900	264000
2012	60400	60200	19800	29300	10100	51500	28100	20000	259000
NA Not available. 									
1Compiled by T.D. Kelly, M.J. Magyar, and D.E. Polyak.									
Data are calculated, estimated, or reported.  See notes for more information.									
