MICA (NATURAL), SHEET STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values in metric tons (t) gross weight unless otherwise noted]									
Last modification: October 17, 2013									
Year	 Production	Imports	Exports	Stocks	Shipments	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1948	122	8870	244	1690	NA	8750	375	2530	14700
1949	233	9720	97.9	1980	NA	9820	573	3920	12700
1950	263	12500	239	2790	NA	12600	485	3280	16200
1951	270	11500	296	4690	NA	11400	595	3720	19200
1952	317	6000	375	3990	NA	5660	2870	17600	11300
1953	385	5920	110	3230	-71.6	6540	5600	34100	11000
1954	303	3790	272	2510	-90.2	3820	7890	47800	9560
1955	291	4200	372	2990	-106	6300	11600	70700	11900
1956	403	4350	404	2470	-99.2	5770	6840	41000	12000
1957	313	4310	659	2390	-86.9	5160	7960	46300	12600
1958	300	4820	583	1680	-95.4	3710	9490	53600	11900
1959	320	4580	585	1540	-127	4540	10700	59800	12900
1960	266	4340	429	1430	-120	4080	11700	64300	13100
1961	239	2970	238	1270	-102	3650	14200	77600	NA
1962	165	5370	285	1690	-46	4330	7890	42600	NA
1963	46.7	4640	362	1400	0	4070	278	1480	NA
1964	110	5040	374	3450	0	4640	526	2770	NA
1965	279	5430	237	4820	0	4950	661	3420	NA
1966	3.63	4690	372	2340	0	4500	287	1440	NA
1967	9.98	3050	27.2	1840	0	3560	1450	7070	NA
1968	7.26	2900	454	1580	0	2910	1470	6900	9250
1969		3080	635	1570	0	2980	1280	5680	11400
1970	0	2340	318	1200	562	2960	1200	5040	8850
1971	7.71	2570	1060	962	726	2490	1320	5310	10200
1972	6.35	2750	3070	1140	2970	2480	1210	4720	11400
1973	13.6	2180	2930	916	3430	2920	1020	3740	13400
1974	9.07	2650	3510	1780	4870	4010	1230	4070	18600
1975	2.27	2130	1190	1840	1560	2440	1480	4480	51300
1976	2.27	1530	762	1690	1600	1610	1610	4610	20100
1977	0	1210	363	1960	1510	2080	1570	4220	22600
1978	0	2060	181	2360	1150	2620	1430	3580	8300
1979	0	2210	635	2400	802	2360	1810	4060	7760
1980	0	2650	1090	2430	1490	2060	1740	3440	9370
1981	0	1890	782	1930	451	2070	1640	2940	6240
1982	0	1770	748	2090	383	1240	1990	3360	7510
1983	0	1190	549	1850	116	1000	1740	2850	6210
1984	0	1060	868	1710	776	1110	1890	2970	6210
1985	0	1210	756	1850	788	1100	2060	3120	6170
1986	0	1800	974	1640	0	1030	2080	3090	7390
1987	0	1860	768	1820	65	986	1940	2780	7390
1988	0	2350	875	2230	55	1120	1930	2660	12200
1989	0	2750	475	2270	8	2240	1850	2430	12500
1990	0	2700	760	2310	32	1930	2190	2730	7300
1991	0	2340	616	2250	2	1780	2120	2540	6600
1992	0	3460	606	3120	264	2250	2090	2430	6200
1993	0	4310	909	502	165	2180	2110	2380	5400
1994	0	2610	1000	503	134	1740	2170	2390	5400
1995	0	4230	935	466	511	3800	2450	2620	3800
1996	0	6330	831	416	1110	6540	2120	2200	3800
1997	0	5760	1060	445	326	5030	1970	2000	3800
1998	0	4380	1280	424	557	3660	1890	1890	3700
1999	0	4550	1290	411	708	3980	1830	1790	5200
2000	0	5430	1150	514	1230	5500	2030	1920	5200
2001	0	4290	1160	515	901	4990	1890	1740	5200
2002	0	1580	723	436	894	1750	2050	1800	5200
2003	0	1130	917	513	1670	1390	1940	1710	5200
2004	0	1400	1090	514	18	328	2890	2490	5200
2005	0	1390	1430	505	38	3	1840	1540	5200
2006	0	1770	1390	505	6	380	721	582.861762328	5200
2007	0	1950	1300	0	7	650	1900	1500	5200
2008	0	1900	2060	0	0.24	NA	3580	2710	5200
2009	0	1500	1110	0	0	390	6290	4780	5200
2010	0	1980	932	0	0	1050	3550	2650	5200
2011	0	2190	1040	0	0	1150	1480	1070	5200
2012	0	2380	1660	0	0	716	3270	2320	5200
NA Not available. 									
1Compiled by C.A. DiFrancesco (retired), J.B. Hedrick (retired), and J.C. Willett.									
Data are calculated, estimated, or reported.  See notes for more information.									
